view,rotulo,pregoes,calendario,apos_veto,perda_pct
2.3_fed,2.3 · decisão do FOMC,374,325,312,4.0000000000000036
2.2_inflacao,2.2 · inflação mensal,374,274,253,7.6642335766423315
B_trajetoria_propria,B · trajetória de juros do ano,374,210,154,26.66666666666667
incerteza_anuncio,15b · incerteza no dia do anúncio,374,27,26,3.703703703703709
