data,retorno_liquido,retorno_bruto,custo,giro,alavancagem,n_views,n_taticas,benchmark_spy,acum_estrategia,acum_spy,excesso_acum,dd_estrategia,dd_spy
2025-02-10,0.008462274926135096,0.008862021131643959,0.0003997462055088636,1.998731027544318,1.998731027544318,3,1,0.006791328320455037,0.00846227492613516,0.006791328320455037,0.0016709466056801237,0.0,0.0
2025-02-11,-0.0012707785143047296,-0.0008731501033286053,0.0003976284109761244,1.988142054880622,1.9813229424972316,3,1,0.0007604384781254581,0.007180742734672174,0.007556931185952909,-0.0003761884512807345,-0.0012707785143046824,0.0
2025-02-12,-0.0011975163873129697,-0.001170024269280082,2.749211803288774e-05,0.1374605901644387,1.982303394297968,3,1,-0.003221485072722685,0.005974627290261214,0.004311101572219034,0.0016635257180421803,-0.002466773123522281,-0.003221485072722685
2025-02-13,0.009014122070467187,0.00935223639230209,0.00033811432183490365,1.6905716091745182,1.9919687197011964,3,1,0.01055750138825129,0.015042605380448215,0.014914117421303885,0.00012848795914432998,0.0,0.0
2025-02-14,0.0003556497778179669,0.00038003309543035394,2.4383317612387034e-05,0.12191658806193517,1.9875364607349053,3,1,-4.917697295880874e-05,0.01540360505752747,0.01486420701719604,0.0005393980403314291,0.0,-4.917697295869772e-05
2025-02-18,0.0033121304956925854,0.0034133469235545027,0.0001012164278619173,0.5060821393095865,2.0,3,1,0.0029357958462659095,0.01876675430327479,0.017843641140681044,0.0009231131625937472,0.0,0.0
2025-02-19,0.0033736780536387343,0.0033812430781897697,7.565024551035592e-06,0.03782512275517796,2.0,3,1,0.002354919076306361,0.022203745344044457,0.020240580547900455,0.0019631647961440013,0.0,0.0
2025-02-20,-0.003767451901831814,-0.0037299170999231107,3.753480190870338e-05,0.18767400954351687,1.9977368383241596,3,1,-0.004160245253420958,0.018352641899588518,0.015996129515328583,0.0023565123842599345,-0.0037674519018316976,-0.004160245253420958
2025-02-21,-0.018056482087286996,-0.018051804122042842,4.677965244154057e-06,0.023389826220770286,1.997770342468895,3,1,-0.017103904429360828,-3.5224337412875784e-05,-0.0013813711845021004,0.0013461468470892246,-0.021755907061338675,-0.021192993245564562
2025-02-24,-0.004461983265658162,-0.004449535674981899,1.2447590676263992e-05,0.06223795338131996,1.999999999999999,3,0,-0.004550612879402727,-0.004497050432667016,-0.0059256979784013675,0.0014286475457343517,-0.026120815833760025,-0.025647165016950968
2025-02-25,-0.006478981353601193,-0.006464900433656112,1.408091994508093e-05,0.07040459972540465,1.9999999999999998,3,1,-0.004973182941032439,-0.010946895480368757,-0.010869411339333945,-7.74841410348115e-05,-0.03243056090863339,-0.03049279991443521
2025-02-26,0.0007890057362222961,0.0007970344517657023,8.028715543406207e-06,0.04014357771703103,2.0,3,1,0.0005046930920669102,-0.010166526907474327,-0.010370203964084834,0.00020367705661050728,-0.03166714307099694,-0.030003496327842938
2025-02-27,-0.015420464964183811,-0.015388645138422148,3.1819825761662636e-05,0.15909912880831317,1.9999999999999998,3,1,-0.015961704022717016,-0.02543021929967404,-0.026166381860471932,0.0007361625607978928,-0.046599285964938675,-0.0454862934225283
