data,retorno_liquido,retorno_bruto,custo,giro,alavancagem,n_views,n_taticas,benchmark_spy,acum_estrategia,acum_spy,excesso_acum,dd_estrategia,dd_spy
2025-02-10,0.008421077774711613,0.00882084008691162,0.0003997623122000061,1.9988115610000303,1.9988115610000303,3,1,0.006791328320455037,0.008421077774711572,0.006791328320455037,0.001629749454256535,0.0,0.0
2025-02-11,-0.00126670689824047,-0.0008690736623819563,0.00039763323585851376,1.9881661792925687,1.9819663389217625,3,1,0.0007604384781254581,0.007143703839163296,0.007556931185952909,-0.00041322734678961304,-0.0012667068982403773,0.0
2025-02-12,-0.0012518136468275402,-0.0012267835876308972,2.5030059196642918e-05,0.1251502959832146,1.9834417726889204,3,1,-0.003221485072722685,0.005882947606380862,0.004311101572219034,0.0015718460341618279,-0.0025169348640863287,-0.003221485072722685
2025-02-13,0.009023512180779403,0.009364464808948588,0.00034095262816918507,1.7047631408459252,1.9922908216983535,3,1,0.01055750138825129,0.014959544636545363,0.014914117421303885,4.542721524147808e-05,0.0,0.0
2025-02-14,0.00034716648988425224,0.0003701742919137186,2.300780202946633e-05,0.11503901014733164,1.9880357822125045,3,1,-4.917697295880874e-05,0.01531190457903131,0.01486420701719604,0.00044769756183526965,0.0,-4.917697295869772e-05
2025-02-18,0.0033169386089381223,0.0034164275697201106,9.94889607819881e-05,0.49744480390994045,1.9999999999999998,3,1,0.0029357958462659095,0.018679631835444077,0.017843641140681044,0.0008359906947630336,0.0,0.0
2025-02-19,0.0033846514705693554,0.0033924551146212968,7.803644051941437e-06,0.039018220259707186,1.9999999999999998,3,1,0.002354919076306361,0.022127507349374964,0.020240580547900455,0.0018869268014745089,0.0,0.0
2025-02-20,-0.003763859445064066,-0.0037267159949394063,3.7143450124659686e-05,0.1857172506232984,1.9978275317130285,3,1,-0.004160245253420958,0.018280363076778272,0.015996129515328583,0.002284233561449689,-0.003763859445064077,-0.004160245253420958
2025-02-21,-0.01805629573935059,-0.018050739155370858,5.556583979732848e-06,0.027782919898664236,1.9978233064067366,3,1,-0.017103904429360828,-0.00010600830450935295,-0.0013813711845021004,0.0012753628799927474,-0.021752193825153254,-0.021192993245564562
2025-02-24,-0.004447776047151869,-0.004436229316107095,1.1546731044773224e-05,0.057733655223866115,1.9999999999999991,3,0,-0.004550612879402727,-0.0045533128504635645,-0.0059256979784013675,0.001372385127937803,-0.026103220985636444,-0.025647165016950968
