,1.0,1.1,1.25
pregões,374.0,374.0,374.0
retorno acumulado bruto,0.3716873161959686,0.37761022916752185,0.3809419708127444
retorno acumulado líquido,0.3316415037567013,0.33716245415928703,0.3401278095701954
retorno médio diário líquido,0.0008271055829530541,0.0008381885176865388,0.0008441019741083417
vol anualizada,0.1764133445132737,0.17642641915289048,0.17640229964158982
sharpe anualizado (excesso zero),1.1814900254809628,1.1972328604252989,1.205844243003005
giro diário médio,0.39634122516246634,0.3986691027688221,0.4013552700653823
giro desfeito em 1–2 pregões,0.41882291419890955,0.42103906178284806,0.41700935157780744
custo pago (fração do patrimônio),0.029646323642152486,0.029820448887107893,0.030021374200890603
custo de breakeven (bps por lado),22.86852263763404,23.0246671203056,23.031291652675552
alavancagem média (Σ|w|),1.9146333768997865,1.9142851785520791,1.9145120770707686
views ativas por dia (média),1.9919786096256684,1.9919786096256684,1.9919786096256684
perna de mercado (composta),0.3011928586581776,0.3011928586581776,0.3011928586581776
tilt (soma das contribuições diárias),0.052151846938587806,0.0564709897738666,0.05888354778940352
benchmark acumulado,0.3011928586581776,0.3011928586581776,0.3011928586581776
excesso acumulado (líquido − benchmark),0.03044864509852374,0.03596959550110945,0.03893495091201782
