data,pi_SPY,pi_TIP,pi_TLT,pi_XLE,pi_XLF,pi_XLK,pi_XLP,pi_XLU,pi_XLV,poly_SPY,poly_TIP,poly_TLT,poly_XLE,poly_XLF,poly_XLK,poly_XLP,poly_XLU,poly_XLV,e_poly_bps,e_ff_bps,surpresa_bps,surpresa_liquida,dias_ate_evento
2025-02-10,0.0001891854545125955,1.1154733134942803e-05,2.6045754151108816e-05,0.0001066642079591239,0.0001613242586606694,0.0002710080308586068,6.209652880419937e-05,7.994662764679067e-05,9.417193806281918e-05,-0.001777966387084845,-0.00020694274349805422,0.0004600802986153052,-0.0012571320152501859,-0.001451509518956623,-0.0023482944125705323,-0.0007012301903705744,0.00015134166698225864,-0.0008146506167845533,-1.9144144144144146,-8.999999999999986,7.085585585585571,1.3913149636137447,26.0
2025-02-11,0.00018910749637363075,1.0996977627310653e-05,2.5642747079228873e-05,0.00010723335830363433,0.0001609710603341157,0.00027093277158052385,6.234416397812436e-05,8.065105844251951e-05,9.3886719970214e-05,-0.003028417876861338,-0.00034572900054392197,0.0007355610818733446,-0.0021234276711645473,-0.002477022353575411,-0.004013267305758626,-0.0011861731263895607,0.00019742666555500082,-0.0013926073920527118,-2.023336643495532,-9.999999999999964,7.9766633565044325,2.27567140620597,25.0
2025-02-12,0.0001882152504610048,1.0816480595689306e-05,2.6221047511269013e-05,0.0001048815724551064,0.00016018950464810865,0.00026919219909905443,6.266943699408173e-05,8.071502158033409e-05,9.343873896896138e-05,-0.004059670444187534,-0.0004601452069758804,0.0009634792161107709,-0.0028401124765462553,-0.0033225785191069585,-0.005386953475128739,-0.0015856652681156198,0.00023488612309313078,-0.0018690810056050423,-1.2836490528414757,-9.999999999999964,8.716350947158489,3.0044182689455727,24.0
2025-02-13,0.00018748647407785336,1.1320826654003948e-05,2.6891625630718764e-05,0.00010482574100803729,0.00015982088178196748,0.00026834668345604353,6.213487040302784e-05,7.955517256321779e-05,9.325443589433454e-05,-0.005078142693541267,-0.0005724777444874363,0.001188705832727727,-0.003545754259866808,-0.004157377415959237,-0.006742944998906607,-0.0019811214517148,0.0002706638575149954,-0.002339461967486267,-0.5494505494505494,-9.999999999999964,9.450549450549415,3.724241565308052,23.0
2025-02-14,0.0001875036540280992,1.1342105405429391e-05,2.7330606375075224e-05,0.00010474271200323532,0.00015947816635427365,0.000268721094274207,6.24682010716232e-05,7.884890190763365e-05,9.294827149086173e-05,-0.0065354310970518106,-0.000734027455689626,0.0015106863191592555,-0.004556164915218809,-0.0053525397785612865,-0.00868300243217123,-0.0025462758817443674,0.0003228484655678338,-0.0030130421291215247,-0.5010020040080161,-11.000000000000032,10.498997995992015,4.754955627106328,22.0
2025-02-18,0.0001874963716874187,1.1364716678367625e-05,2.7396096645115362e-05,0.00010438569462823535,0.0001594504100289047,0.00026875863385370955,6.244859104446383e-05,7.870772367955959e-05,9.293134651999921e-05,-0.006153111175083819,-0.0006916163532262178,0.001426394714847502,-0.004291460341393548,-0.005039104071532309,-0.008173888491238837,-0.002397938580858533,0.000308831253363414,-0.0028364241958877975,-0.7488766849725411,-11.000000000000032,10.25112331502749,4.484545611416181,21.0
2025-02-19,0.000186817732096654,1.1223229816013034e-05,2.6700134669252727e-05,0.00010473076351763012,0.00015883465021201826,0.0002678106232958494,6.177251821377674e-05,7.845628919496472e-05,9.238302636157891e-05,-0.004786470656845488,-0.0005401636155002369,0.0011240119510416426,-0.0033431738559153994,-0.003918678498444665,-0.006354223402534924,-0.001868044910805039,0.00025895487229712856,-0.002205272174449357,-0.6947921882824236,-9.999999999999964,9.30520781171754,3.517476591071249,20.0
2025-02-20,0.00018682036460377396,1.1212704982212414e-05,2.6695131481913154e-05,0.00010479906455642058,0.00015878155558132548,0.00026782577426835637,6.176624683065739e-05,7.84606575832593e-05,9.244700182816645e-05,-0.006215235543082459,-0.0006985811244538952,0.001439251783575651,-0.004333648178330117,-0.005090153374487841,-0.008256641085572608,-0.0024224651320847593,0.0003108143700378873,-0.0028652976334686674,-0.6677483774338493,-11.000000000000032,10.332251622566183,4.528006427313923,19.0
2025-02-21,0.00018693707505073259,1.1157718369153046e-05,2.6710546121945972e-05,0.00010477969912988964,0.00015926059196880575,0.00026790529626201327,6.187160943902882e-05,7.839471515419455e-05,9.236275663752e-05,-0.007678925380742479,-0.0008609278608292598,0.0017622430838877248,-0.0053485021892592625,-0.006289824013769087,-0.010205649573506354,-0.002990370141754355,0.00036387524978475906,-0.003541659316283338,-0.6112774451097804,-12.00000000000001,11.38872255489023,5.56331845109912,18.0
2025-02-24,0.00018758513634691487,1.0732731210388049e-05,2.417908172363235e-05,0.00010615416171092551,0.00015973182769389084,0.0002693161184247382,5.999516029017917e-05,7.771392020700708e-05,9.207241359500279e-05,-0.007324203978968023,-0.0008220968533726734,0.001681588488477518,-0.005101654106252848,-0.005999054169059445,-0.009732782940838054,-0.0028548532104740376,0.000350343855541404,-0.003378368063288258,-0.8358283433133731,-12.00000000000001,11.164171656686637,5.312891653122973,17.0
2025-02-25,0.0001876921877039972,1.0702600834332872e-05,2.424022173077282e-05,0.00010544022236737124,0.0001596072491992782,0.00026954092612350023,6.0159577357918755e-05,7.809560702825124e-05,9.199307113039469e-05,-0.01006169531615602,-0.0011256436152312233,0.002285676345879888,-0.007000303051940314,-0.008243688325935512,-0.013377725728550161,-0.003916976895502841,0.0004500828672533248,-0.004643215640218793,-0.8749999999999998,-13.999999999999968,13.124999999999968,7.249123275819994,16.0
2025-02-26,0.00018528447400707182,9.984932129459881e-06,2.1216516781929737e-05,0.00010528953516255024,0.00015697002855406207,0.0002669275289681018,5.915821099298785e-05,7.589236749734494e-05,9.00470765290975e-05,-0.00995695918140153,-0.001114482280755017,0.002259012304444876,-0.006926172551100449,-0.008158480158038672,-0.013237674925559577,-0.00387640253772247,0.00044399099080431946,-0.0045956612637624485,-0.9173739390913629,-13.999999999999968,13.082626060908606,7.173343238683378,15.0
2025-02-27,0.0001852549401059087,9.9737490700121e-06,2.132655848889467e-05,0.00010520871030008456,0.00015695049963926146,0.0002668706376104402,5.9176521040674396e-05,7.582518221705251e-05,9.001369443283736e-05,-0.008417173453749732,-0.0009437746530321887,0.0019193758144024496,-0.005858723054337783,-0.0068960317815240126,-0.011187436668506159,-0.003278879700122914,0.00038803835283896437,-0.003884301244289295,-0.9735396904643034,-12.99999999999999,12.026460309535686,6.084272243096315,14.0
2025-02-28,0.00018682374340357765,1.0025571040753167e-05,2.177465878373723e-05,0.00010430948052828632,0.0001564804692018691,0.00027022264620597125,5.926624838252556e-05,7.825468407688684e-05,9.039237070436275e-05,-0.008031347745920282,-0.0009011203946429487,0.0018350410489373014,-0.005593222861319224,-0.006581456220763801,-0.010672438823701414,-0.0031296842677439197,0.0003765217849375068,-0.003706396189875689,-1.2175324675324677,-12.99999999999999,11.782467532467521,5.812497400991181,13.0
2025-03-03,0.0001873247382683701,1.0159816478293665e-05,2.19578201055406e-05,0.00010553043657144431,0.00015821075172934386,0.0002699859129235581,5.991546695468157e-05,7.953603467265036e-05,9.046888812790961e-05,-0.007104479398169369,-0.0007982801059669845,0.0016308294993302719,-0.004949765617026675,-0.005820213364970312,-0.009439198699926779,-0.0027695707021516787,0.0003441819212478038,-0.003278338706990175,-1.8463073852295409,-12.99999999999999,11.15369261477045,5.157302040562331,12.0
2025-03-04,0.00018930325621073263,9.85293993153961e-06,2.1407394043870026e-05,0.00010935846665424594,0.00015924733574783782,0.000273375930523673,5.940122189528125e-05,7.955265987353678e-05,9.00846855482919e-05,-0.0054092229053579795,-0.0006108538112618063,0.0012566723597793566,-0.003772013918146341,-0.004430887450654638,-0.007181174828857812,-0.0021130312852232604,0.00028274337808533454,-0.002496429858954245,-2.020582329317269,-12.00000000000001,9.979417670682741,3.9596908881462856,11.0
2025-03-05,0.00019013903041143935,1.0229273918686329e-05,2.246201683575893e-05,0.00010971550589458465,0.00016199973712874977,0.0002734262927807225,6.048253507489988e-05,8.033418939295285e-05,9.060585743529532e-05,-0.00635226635601309,-0.0007151250559893737,0.0014659855321791054,-0.004426033879605026,-0.0052020053035406666,-0.00843791873519123,-0.00247820956460328,0.0003177816909203634,-0.002931980123171647,-2.3351648351648353,-12.99999999999999,10.664835164835154,4.627271936856598,10.0
2025-03-06,0.00019059292078464954,9.810694888754891e-06,2.1690659041664317e-05,0.00010938134940721787,0.00016218036357785174,0.0002739582831057566,6.048674712065491e-05,7.941004575117173e-05,9.11182905042243e-05,-0.005402958222626826,-0.0006103444776804338,0.001255857931302801,-0.0037685419315520883,-0.004423875491468857,-0.007173968139028447,-0.00211001527135563,0.0002824202026003336,-0.0024930977996459533,-1.985514485514485,-12.00000000000001,10.014485514485525,3.9561721881354153,9.0
2025-03-07,0.00019236606488688522,9.855026195705713e-06,2.2425411646535638e-05,0.00010871445219431668,0.00016433029230346715,0.0002766853595982315,5.97785673924206e-05,8.100959665764968e-05,9.122964026024658e-05,-0.006528321863155436,-0.0007352654303693501,0.001505285382926176,-0.0045506354870505795,-0.005345845521257144,-0.00867204647655271,-0.0025480936660718413,0.000324927615001542,-0.0030137227299316446,-2.170658682634731,-12.99999999999999,10.829341317365259,4.753366508032403,8.0
2025-03-10,0.000191118918445003,8.839244999493769e-06,2.0130851646749015e-05,0.00010798280586364606,0.00016278985771913158,0.0002752087202687707,5.9821346874278116e-05,8.002371603286156e-05,9.023829684553494e-05,-0.008509927844926117,-0.000955842943242734,0.0019399393730035316,-0.005924319562934118,-0.006971047919234923,-0.01131041093844646,-0.0033165024014119165,0.0003958161031757715,-0.003929638248582646,-0.7488766849725411,-12.99999999999999,12.251123315027447,6.154022432325558,7.0
2025-03-11,0.00019559605419095096,8.1294480110235e-06,1.841894618855985e-05,0.00010680505448859634,0.00016656529790460943,0.00028231228320275926,6.024078666335271e-05,7.830917907660771e-05,9.206020591594709e-05,-0.009474948538258502,-0.0010640406451564528,0.0021521385341467555,-0.00659763530068492,-0.007762146983904348,-0.012594213333510091,-0.0036922835077466596,0.0004292881411340855,-0.004375723549982803,-1.0359460808786818,-13.999999999999968,12.964053919121286,6.839722848665743,6.0
2025-03-12,0.00019454465658415272,7.663371515061732e-06,1.9393162160482266e-05,0.00010555519268053872,0.00016452218561498273,0.00028130220133854993,6.006638995874358e-05,7.722305705617397e-05,9.108970622366988e-05,-0.008090802583619695,-0.0009109303475387894,0.0018474812838223578,-0.005638549067716474,-0.006628490740849071,-0.010750805138835902,-0.003154950769546733,0.00037792820833824583,-0.0037367339967625565,-0.9855289421157684,-12.99999999999999,12.01447105788422,5.860009049769357,5.0
2025-03-13,0.00019466369647952632,7.652541156968551e-06,1.9226667382516386e-05,0.0001057274205226694,0.00016456561919709074,0.0002816659111663249,5.9459967925238794e-05,7.708780290379513e-05,9.083839040367113e-05,-0.007185556209071698,-0.0008105900084828416,0.0016476064990839068,-0.005010865930741703,-0.005886349057653957,-0.009545246085599916,-0.002804334746934207,0.0003449426168124923,-0.003318817218312216,-0.6000000000000001,-12.00000000000001,11.400000000000011,5.219836197807211,4.0
2025-03-14,0.0001936468235290032,7.82654523039382e-06,1.8770273358970095e-05,0.00010467355304913603,0.0001603464624544517,0.0002815909958240205,5.87756126516589e-05,7.59451108238784e-05,9.011413400823055e-05,-0.00890478869572333,-0.0010009140034633777,0.00202625908659095,-0.006203132349820782,-0.007299303483533827,-0.011833159824635018,-0.003471749478331815,0.00040616017000341795,-0.0041133556942314605,-0.36195706440339487,-12.99999999999999,12.638042935596594,6.435085088871887,3.0
2025-03-17,0.00019461410652147682,8.853012782837468e-06,2.1291501100174474e-05,0.00010694574909629658,0.00016126488764820317,0.00028337082076988806,5.8527302578681014e-05,7.671199670089022e-05,9.027165855151928e-05,-0.008847144063496976,-0.0009936037368727686,0.002016274961702035,-0.006161566616186859,-0.007251916279805939,-0.011755912963441034,-0.0034500049080752873,0.00040487003034106066,-0.00408701328032504,-0.3740648379052369,-12.99999999999999,12.625935162094752,6.394998684548862,2.0
2025-03-18,0.00019486448603078652,8.960041856579108e-06,2.1532641805428203e-05,0.00010730005520521969,0.00016116037397843495,0.00028367405697482084,5.9173607622016095e-05,7.706025981829266e-05,9.089629394092971e-05,-0.008930550216255844,-0.0010027716799723694,0.002034974171635431,-0.006219210101779404,-0.007320609337637545,-0.011867000091083614,-0.0034818203911682203,0.0004082544909118865,-0.004125037894972116,-0.28721278721278726,-12.99999999999999,12.712787212787202,6.454166758251923,1.0
2025-03-19,0.00019420149798228604,9.42059629924629e-06,2.2988766955020086e-05,0.00010633278105867532,0.00015950735894040605,0.000282730572446623,5.9170408602427464e-05,7.639920945344013e-05,9.009050326297794e-05,,,,,,,,,,,,,,
2025-03-20,0.0001945084489175323,1.0228735889438234e-05,2.412337748810654e-05,0.0001049962868883868,0.00015894490384769824,0.00028343807712076995,5.9412213319528864e-05,7.714118039850588e-05,9.004689008827146e-05,-0.0014519901141642265,-0.00016325391928459601,0.0004009324273610091,-0.0009107336453946372,-0.0011570567481020409,-0.0019425682343648001,-0.0006040452822049609,0.0001651816768761484,-0.0006992198065915343,-5.47725024727992,-12.99999999999999,7.5227497527200695,1.2363096138819802,33.0
2025-03-21,0.0001929208837318368,1.1353319252476443e-05,2.4878154767005087e-05,0.00010390100454014232,0.00015712938723328346,0.0002809106450558626,5.948952813366897e-05,7.644394954963978e-05,8.914759166873194e-05,-0.004040225355411712,-0.00043467042214214867,0.0009936538634801656,-0.002507539684956473,-0.0032263096078368326,-0.005442149463868772,-0.001646259061621785,0.00030279598222867287,-0.0019400563345575107,-4.52970297029703,-13.999999999999968,9.470297029702937,3.1785508410198613,32.0
2025-03-24,0.00019199055918176958,1.1504785818772492e-05,2.6021314472339998e-05,0.00010270750052384408,0.0001546686411164497,0.0002807340583822466,5.8924315642517366e-05,7.570980477698353e-05,8.816929886984909e-05,-0.004660999828387182,-0.0004998285835792068,0.0011366513131766765,-0.0028911169146698936,-0.0037241949729417507,-0.006280332847189576,-0.0018965908123600803,0.000335205739181623,-0.0022381635495756424,-4.050695825049702,-13.999999999999968,9.949304174950267,3.643974435664542,31.0
2025-03-25,0.00019327015468161056,1.1190805003971236e-05,2.5444105383266047e-05,0.00010279068070684312,0.0001558302177379868,0.0002824763039895146,5.881210608514801e-05,7.524269050398099e-05,8.826360228639153e-05,-0.005673714710010148,-0.0006069816823667676,0.0013681315768775395,-0.0035165699874038473,-0.004533491684521747,-0.007649474340261161,-0.0023052926504491546,0.00038895827574414113,-0.0027241383441559647,-3.2738095238095237,-13.999999999999968,10.726190476190444,4.4053544627104015,30.0
2025-03-26,0.0001923817298919922,1.137013220765371e-05,2.606603395433467e-05,0.00010032205270328059,0.00015408851765295471,0.00028197436016942813,5.8806108367165385e-05,7.66023514554347e-05,8.772124352705368e-05,-0.005280497101934583,-0.0005652775324061264,0.0012785604599623397,-0.0032759134144201515,-0.004220235119850816,-0.007117159228407403,-0.00214649340691237,0.0003692445561435087,-0.0025357617608186365,-3.55106593951413,-13.999999999999968,10.448934060485838,4.10943129080787,29.0
2025-03-27,0.0001914488244561719,1.2926568150688976e-05,2.799070192695771e-05,9.75907351447786e-05,0.000151816368101842,0.0002825827627172536,5.663491556464574e-05,7.398840240684353e-05,8.637802896354035e-05,-0.0030790836995982255,-0.0003316717684819431,0.0007764676703251188,-0.001920010648587643,-0.002462231588523806,-0.004139058533365925,-0.0012612279517913894,0.0002488681828210391,-0.0014813867171002575,-4.187406669985068,-12.99999999999999,8.812593330014922,2.4557511878018996,28.0
2025-03-28,0.00019149958600445425,1.2866200843070645e-05,2.8046185707704228e-05,9.796541319818464e-05,0.00015196700015987762,0.00028261930874272687,5.6453924488945666e-05,7.412688795681988e-05,8.637840998633703e-05,-0.002828275574855942,-0.00030531118763524773,0.0007191361354394699,-0.0017649429964573043,-0.0022616573960684808,-0.003800007131429151,-0.001160366126371928,0.0002355983343183557,-0.0013611831120030767,-4.3653750620963745,-12.99999999999999,8.634624937903615,2.267464513388904,27.0
2025-03-31,0.00019391189038412565,1.2337395913204053e-05,2.6150495537827073e-05,9.851167478806084e-05,0.00015456767849149187,0.00028568885646822716,5.654090815322652e-05,7.221833092517216e-05,8.634531177492123e-05,-0.001991327227573196,-0.0002179094399320915,0.0005262528911581445,-0.001249568931580976,-0.0015920346894780367,-0.002668675136157142,-0.0008240023882882155,0.00018906601071131898,-0.0009611724320957268,-4.9825174825174825,-12.99999999999999,8.017482517482506,1.6408347937485948,26.0
2025-04-01,0.00019411564003934606,1.2526164559985649e-05,2.6658689650401668e-05,9.874721287859805e-05,0.00015487922062793705,0.0002857335668644767,5.705195210421743e-05,7.259081096601522e-05,8.667414205306367e-05,-0.0014547539531386876,-0.00016120631324118129,0.0004040103610705257,-0.0009184454150259893,-0.0011630175313804866,-0.0019434782912746851,-0.0006073609512929299,0.0001607580896173687,-0.0007037291332632351,-4.378425510712506,-12.00000000000001,7.621574489287505,1.238089953912974,25.0
2025-04-02,0.0001940863616313687,1.2585583977510008e-05,2.679941376005015e-05,9.908199003655314e-05,0.0001548279121286048,0.00028571323336628815,5.709143360204553e-05,7.265479692341583e-05,8.633175873779179e-05,-0.0030895030657195352,-0.0003333884879901039,0.0007782645167583595,-0.001926574236741928,-0.0024696560732266337,-0.004153580522183409,-0.0012660327200706878,0.00024823274754829977,-0.0014876919535740012,-4.145822911455729,-12.99999999999999,8.854177088544262,2.4655552504564,24.0
2025-04-03,0.00019314067555493947,1.2383759516868286e-05,2.693979865476425e-05,9.801382102580935e-05,0.00015394842308707676,0.00028427959844492466,5.655257946686778e-05,7.164087533768389e-05,8.634385687559085e-05,0.0014147758441916407,0.00014110085497087157,-0.0002526372368233168,0.0008516442431449819,0.0011303682852439598,0.001935886017480106,0.0005488111380843264,6.3183969748631e-06,0.0006719477412136839,-6.518481518481518,-12.00000000000001,5.481518481518493,-0.9172916014059656,23.0
2025-04-04,0.00020788665872917397,1.0533718533263962e-05,2.5410714905958267e-05,0.00012141702055284325,0.00016901297316750238,0.00030451413738223214,5.485540731042442e-05,7.355224504228277e-05,8.870117076167013e-05,0.003690059779503825,0.0003774314810414492,-0.00077150121356616,0.0022695801270799947,0.0029522195195110642,0.00501228584051786,0.0014579989687403816,-0.00011264424321962582,0.0017579181005091791,-9.21963095848283,-12.99999999999999,3.78036904151716,-2.614666178850073,22.0
2025-04-07,0.00022764669742312454,1.1364816571189265e-05,2.0338317001511406e-05,0.00015339490552176386,0.00019429127497693285,0.0003268411838368079,6.963041143401196e-05,9.276890202798536e-05,0.0001072852696531693,0.001371697369150085,0.00013190725288728773,-0.0002414831362848014,0.0008591632173668503,0.0011086999526795733,0.0018735561783260334,0.0005306262546349932,3.159497124367984e-05,0.0006556981955765145,-10.474716202270383,-16.000000000000014,5.525283797729632,-0.859035577642314,21.0
2025-04-08,0.00022761262631647284,1.1497276485623352e-05,2.0653286335121253e-05,0.00015259258412354424,0.00019431313033487407,0.00032680805977613147,6.969265531908205e-05,9.312356725987832e-05,0.00010715139320123185,-0.002946941010184044,-0.00032298828347848116,0.0007471650285023257,-0.0018057991342367839,-0.0023430215042112247,-0.003965073263079732,-0.0012094954668610215,0.00026287122724525335,-0.001414604846551533,-7.235503560528994,-16.000000000000014,8.76449643947102,2.3836833317629216,20.0
2025-04-09,0.00022895108500838585,1.1845538185014826e-05,2.2641361525038857e-05,0.00015416865365570928,0.00019439406063780353,0.0003285986396678306,7.112240261338599e-05,9.372039230426561e-05,0.00010823235187915359,0.003985704854315221,0.00040767437967186183,-0.0008371096580989372,0.0024717213908775912,0.003197065473312889,0.0054075934160264455,0.0015849083863808881,-0.00010715829317418932,0.0019090724523347894,-10.430338213023726,-13.999999999999968,3.5696617869762424,-2.82084109037317,19.0
2025-04-10,0.00029393865190495476,1.3146459251961974e-05,2.6625647503309945e-05,0.00020265045612803676,0.00024078281623463998,0.00041159943563790467,9.522858382097498e-05,0.00011853243727379235,0.00013553955042179826,0.0030203129789906596,0.00030040978754535127,-0.0005973181219125554,0.0018845590060181147,0.002419899882430333,0.004097558595059074,0.0011938226084188136,-2.725047121004879e-05,0.0014424562446118986,-4.6680755842864246,-8.999999999999986,4.331924415713561,-2.047158052363085,18.0
2025-04-11,0.0003056666368732384,1.6280573087491565e-05,3.382387628954075e-05,0.00022029156575374356,0.00024836861841712253,0.000424040661592617,9.514695404725381e-05,0.00012048474452034757,0.0001429287627403565,0.006516403598719054,0.0006706723611445967,-0.0013875329023178818,0.004051713939956005,0.005212442250110016,0.008820731667607783,0.002597766805931687,-0.00021161172848811315,0.003120111953625297,-9.29264047737444,-11.000000000000032,1.707359522625591,-4.663468275885075,17.0
2025-04-14,0.0003074360235416248,1.632912844820763e-05,3.444521364436976e-05,0.000222816566227153,0.0002499788670361088,0.0004260765114956611,9.641690465407824e-05,0.00012170832040317816,0.00014442572137108174,0.002813887564258368,0.00028042038130343276,-0.000539168177090822,0.001769054085534651,0.002253317613922955,0.0038147080439916606,0.0011063929223342434,-1.2315020393929187e-05,0.0013459200756854868,-5.529925187032419,-9.999999999999964,4.470074812967545,-1.8820241972865537,16.0
2025-04-15,0.0003079249323932422,1.6588708830499783e-05,3.484674325323452e-05,0.00022302597150457109,0.00025050524227928435,0.00042650763357265974,9.732930872199975e-05,0.00012265890809501327,0.00014508394750382546,0.0009294749881900756,8.207807907409196e-05,-0.00010739795177698192,0.0006064620766071287,0.0007472933467687922,0.0012668207550844798,0.0003477832432764492,8.942378920390594e-05,0.00044303061466745535,-5.122133599202393,-11.000000000000032,5.877866400797639,-0.46670451266731483,15.0
2025-04-16,0.00030786274096153724,1.6600171648235095e-05,3.4746308570673295e-05,0.00022307633962723714,0.00025038518833659875,0.00042626632935373657,9.737412198124626e-05,0.00012263021087974713,0.00014521746701750098,0.0004992489748677095,3.676550477774409e-05,-9.053343961034903e-06,0.00034114308487939585,0.00040335501511224185,0.0006850135728430941,0.00017449330949367901,0.00011239653110018638,0.000236960505251548,-4.800995024875623,-11.000000000000032,6.199004975124409,-0.14370655781198938,14.0
2025-04-17,0.00031001838868087726,1.64263964898334e-05,3.454300532009744e-05,0.00022149546250844516,0.00025202011717087006,0.0004297468025844289,9.847167291247161e-05,0.00012393001118751024,0.00014564813642781724,-0.002690940787693659,-0.0002997684533932428,0.0007213268272510168,-0.0016298053095358163,-0.00214656517290722,-0.0036274411093302835,-0.0011107664667200981,0.00028439534150801534,-0.001292893742148039,-3.4045226130653266,-12.00000000000001,8.595477386934684,2.2533361181165867,13.0
2025-04-21,0.0003099679317686998,1.6357065977291067e-05,3.433719105218588e-05,0.00022164030525667278,0.0002521915693989753,0.00042960401563590434,9.845777334851153e-05,0.00012377003202317598,0.00014547111799143877,-0.0010541314496476692,-0.00012737071363670084,0.0003465178411717042,-0.0006198767196473824,-0.0008380960747077742,-0.0014146088495384085,-0.0004512068176409128,0.00019671026378381473,-0.0005084245104980969,-2.6246882793017456,-9.999999999999964,7.375311720698219,1.024263985010096,12.0
2025-04-22,0.00031345384642655173,1.72028584783392e-05,3.706499481076525e-05,0.00022566436350011617,0.0002552257990861674,0.0004333945270857233,9.977425457609356e-05,0.0001271731969356251,0.00014863194588894124,-0.0025563170704310497,-0.00028516939349972564,0.0006938257577901284,-0.001544705975355029,-0.0020385042727052087,-0.003446431618335298,-0.0010566015042121142,0.00028062371427124005,-0.0012270234373362577,-2.490089197224975,-11.000000000000032,8.509910802775057,2.1548305317128786,11.0
