nível,c mediano (ativas),c p95,views/dia,Σ|w| pedida mediana,dias de ruína,excesso — teto na carteira,excesso — teto no tilt
sem régua,,,2.235294117647059,221.79184981922265,33.0,-0.18341032127836931,0.040777349257044015
0,1.0,1.0,1.9919786096256684,177.47055139222954,31.0,-0.1476927023705077,0.03170065322798932
1,1.024176,1.1144861999999998,1.9919786096256684,174.45348411219288,28.0,-0.14856321684600982,0.03044864509852374
2,1.0489364789759998,1.2420797819765996,1.9919786096256684,168.64258810031464,28.0,-0.14987346691290027,0.028669575076786913
3,1.0742955672917236,1.3842814272054327,1.9919786096256684,162.60891834912115,27.0,-0.1517601113303062,0.02604050293374094
5,1.126867809734505,1.7193903991622936,1.9919786096256684,147.7770193312831,26.0,-0.1571005009225801,0.01881187326186784
8,1.2105890929215124,2.380128593365407,1.9919786096256684,130.4668320781554,24.0,-0.16677546650719122,0.004877739655127833
