data,r_bruto,r_mercado,r_tilt,custo,carrego,r_liquido,giro,alavancagem,alavancagem_pedida,r_pedido,n_views,n_taticas,cenario,r_benchmark
2025-02-10,0.0020933811982879707,0.006791328320455037,-0.004697947122167066,0.0002,0.0,0.0018933811982879706,1.0,1.0,235.22517316236224,0.4924159548621213,3,1,Σ\|w\| ≤ 1,0.006791328320455037
2025-02-11,-0.0015644436143754776,0.0007604384781254581,-0.0023248820925009356,0.0003981984902833154,0.0,-0.001962642104658793,1.9909924514165769,1.0,24.194015932177997,-0.03785017373119444,3,1,Σ\|w\| ≤ 1,0.0007604384781254581
2025-02-12,0.0019137059060701867,-0.003221485072722685,0.005135190978792872,2.731665611853159e-05,0.0,0.0018863892499516551,0.13658328059265795,1.0,30.39218184188749,0.05816169788917916,3,1,Σ\|w\| ≤ 1,-0.003221485072722685
2025-02-13,-0.001055196423047979,0.01055750138825129,-0.011612697811299269,0.0003358691096198335,0.0,-0.0013910655326678126,1.6793455480991673,0.9999999999999999,73.65802967177548,-0.07772368943841937,3,1,Σ\|w\| ≤ 1,0.01055750138825129
2025-02-14,0.0004254837687668854,-4.917697295880874e-05,0.0004746607417256941,2.5338410644472006e-05,0.0,0.00040014535812241337,0.12669205322236002,0.9999999999999999,52.913554893547406,0.022513858754960016,3,1,Σ\|w\| ≤ 1,-4.917697295880874e-05
2025-02-18,0.0004899814682868785,0.0029357958462659095,-0.002445814377979031,0.00010074941532559678,0.0,0.00038923205296128167,0.5037470766279839,1.0000000000000002,197.76085638148817,0.09689915477947209,3,1,Σ\|w\| ≤ 1,0.0029357958462659095
2025-02-19,0.001036356676886192,0.002354919076306361,-0.001318562399420169,6.895526505799935e-06,0.0,0.0010294611503803921,0.03447763252899967,0.9999999999999999,132.4268028271982,0.13724140130865808,3,1,Σ\|w\| ≤ 1,0.002354919076306361
2025-02-20,0.0003756493470199422,-0.004160245253420958,0.0045358946004409,3.86499228034304e-05,0.0,0.00033699942421651184,0.193249614017152,1.0,82.50033784891511,0.030991198041869575,3,1,Σ\|w\| ≤ 1,-0.004160245253420958
2025-02-21,-0.0011243193965759588,-0.017103904429360828,0.01597958503278487,3.9932227375731854e-06,0.0,-0.0011283126193135321,0.019966113687865925,0.9999999999999999,92.67784564451419,-0.1041994994910001,3,1,Σ\|w\| ≤ 1,-0.017103904429360828
2025-02-24,4.770584629997139e-05,-0.004550612879402727,0.004598318725702698,1.0578593521351672e-05,0.0,3.712725277861972e-05,0.05289296760675836,1.0,87.15704916652109,0.004157900791497096,3,0,Σ\|w\| ≤ 1,-0.004550612879402727
2025-02-25,-0.0015373124793302694,-0.004973182941032439,0.0034358704617021697,1.4602604333356199e-05,0.0,-0.0015519150836636256,0.07301302166678099,1.0,76.35632116337841,-0.1173835254002116,3,1,Σ\|w\| ≤ 1,-0.004973182941032439
2025-02-26,0.0002960359142694537,0.0005046930920669102,-0.00020865717779745645,8.961930330268505e-06,0.0,0.0002870739839391852,0.04480965165134253,0.9999999999999997,57.47695109317178,0.017015241766287784,3,1,Σ\|w\| ≤ 1,0.0005046930920669102
2025-02-27,0.0003712826357402481,-0.015961704022717016,0.016332986658457265,3.321147862569402e-05,0.0,0.00033807115711455407,0.1660573931284701,1.0,81.94603193118657,0.030425138723865458,3,1,Σ\|w\| ≤ 1,-0.015961704022717016
2025-02-28,0.005622418326758685,0.015605595005157014,-0.009983176678398329,0.00037339193892989297,0.0,0.005249026387828792,1.8669596946494649,0.9999999999999999,13.338651335588372,0.07499547772345627,2,1,Σ\|w\| ≤ 1,0.015605595005157014
2025-03-03,-0.0002131958577293421,-0.017520080316040132,0.01730688445831079,0.0003321062617782073,0.0,-0.0005453021195075494,1.6605313088910363,0.9999999999999999,91.95357747492778,-0.01960412182104876,3,1,Σ\|w\| ≤ 1,-0.017520080316040132
2025-03-04,-0.0002298648057464446,-0.01183676164866676,0.011606896842920315,1.7898861473255162e-05,0.0,-0.00024776366721969976,0.08949430736627581,1.0,179.65662075193896,-0.04129673423020713,3,1,Σ\|w\| ≤ 1,-0.01183676164866676
2025-03-05,-0.0015493531638081722,0.010747730837302738,-0.01229708400111091,1.4845434638284903e-05,0.0,-0.001564198598446457,0.07422717319142451,1.0,146.14949382425814,-0.22643718064557739,3,1,Σ\|w\| ≤ 1,0.010747730837302738
2025-03-06,0.0009117685872970133,-0.01775115672124894,0.018662925308545953,7.197258109298665e-06,0.0,0.0009045713291877146,0.03598629054649332,0.9999999999999999,120.57390489494456,0.10993549893094805,3,1,Σ\|w\| ≤ 1,-0.01775115672124894
2025-03-07,-0.0002317789839431819,0.005604885844907148,-0.0058366648288503305,3.156849074751554e-05,0.0,-0.00026334747469069743,0.15784245373757771,1.0,140.6555241479025,-0.032600994472996525,4,1,Σ\|w\| ≤ 1,0.005604885844907148
