lag_k,corr,n,leitura
-3,-0.043957565364398495,600,"corr(Δpoly_t, Δff_{t+k})"
-2,-0.02735259203572531,618,"corr(Δpoly_t, Δff_{t+k})"
-1,0.17185741757910422,636,"corr(Δpoly_t, Δff_{t+k})"
0,0.08806117435518063,654,"corr(Δpoly_t, Δff_{t+k})"
1,0.020994378611543508,636,"corr(Δpoly_t, Δff_{t+k})"
2,0.03940121716772092,618,"corr(Δpoly_t, Δff_{t+k})"
3,0.004248283360474341,600,"corr(Δpoly_t, Δff_{t+k})"
