familia,h,mean,std,min,max,count
CPI,0,1.0435833333333333,0.15601294138239907,0.754,1.445,12
CPI,1,0.9977083333333333,0.03522619011044156,0.9015000000000001,1.0345,12
CPI,2,1.0006666666666666,0.02599941724288639,0.938,1.0315,12
CPI,3,1.0002916666666668,0.03917121991586383,0.888,1.027,12
CPI,5,0.9969583333333333,0.047076078818968116,0.8875,1.0474999999999999,12
CPI,10,1.0198333333333334,0.019913829517714785,0.978,1.04,12
CPI,15,1.0117083333333334,0.03350268532882738,0.9385,1.067,12
CPI,20,1.015625,0.0300719780466195,0.9854999999999999,1.092,12
CPI,30,1.0347,0.08585569288055393,0.9299999999999999,1.146,5
FOMC,0,1.0027058823529411,0.0038772526659083266,1.0,1.016,17
FOMC,1,1.0021111111111112,0.0035668224265053895,0.9969999999999999,1.01,18
FOMC,2,1.0019444444444445,0.003076901080866635,0.9974999999999999,1.0085,18
FOMC,3,1.002138888888889,0.003501283611492357,0.9965,1.008,18
FOMC,5,1.0026666666666668,0.0034213860280508956,0.996,1.0105,18
FOMC,10,1.0025,0.0063547110824314,0.9884999999999999,1.0099999999999998,18
FOMC,15,1.0004117647058823,0.007750474368783937,0.9804999999999999,1.0145,17
FOMC,20,0.9981388888888889,0.008714095335508997,0.9690000000000001,1.01,18
FOMC,30,1.001264705882353,0.009127769523305677,0.969,1.0105,17
FOMC,45,1.00125,0.01141198200722963,0.9715,1.0150000000000001,16
FOMC,60,0.9948461538461538,0.013074123003386971,0.969,1.0145,13
