familia,evento,mercado,bucket,K,h,p,y,valor,volume
CPI,2026-05-12,will-monthly-inflation-increase-by-0pt6,3,9,2,0.385,1.0,0.6,
CPI,2026-05-12,will-monthly-inflation-increase-by-0pt7,4,9,2,0.205,0.0,0.7,
CPI,2026-05-12,will-monthly-inflation-increase-by-0pt8,5,9,2,0.026,0.0,0.8,
CPI,2026-05-12,will-monthly-inflation-increase-by-0pt9,6,9,2,0.0065,0.0,0.9,
CPI,2026-05-12,will-monthly-inflation-increase-by-1pt0,7,9,2,0.0075,0.0,1.0,
CPI,2026-05-12,will-monthly-inflation-increase-by-1pt1,8,9,2,0.0105,0.0,1.1500000000000001,
CPI,2026-05-12,will-monthly-inflation-increase-by-0pt3,0,9,3,0.0105,0.0,0.25,
CPI,2026-05-12,will-monthly-inflation-increase-by-0pt4,1,9,3,0.05,0.0,0.4,
CPI,2026-05-12,will-monthly-inflation-increase-by-0pt5,2,9,3,0.3,0.0,0.5,
CPI,2026-05-12,will-monthly-inflation-increase-by-0pt6,3,9,3,0.385,1.0,0.6,
CPI,2026-05-12,will-monthly-inflation-increase-by-0pt7,4,9,3,0.24,0.0,0.7,
CPI,2026-05-12,will-monthly-inflation-increase-by-0pt8,5,9,3,0.025,0.0,0.8,
CPI,2026-05-12,will-monthly-inflation-increase-by-0pt9,6,9,3,0.005,0.0,0.9,
CPI,2026-05-12,will-monthly-inflation-increase-by-1pt0,7,9,3,0.0055,0.0,1.0,
CPI,2026-05-12,will-monthly-inflation-increase-by-1pt1,8,9,3,0.0035,0.0,1.1500000000000001,
CPI,2026-05-12,will-monthly-inflation-increase-by-0pt3,0,9,5,0.019,0.0,0.25,
CPI,2026-05-12,will-monthly-inflation-increase-by-0pt4,1,9,5,0.075,0.0,0.4,
CPI,2026-05-12,will-monthly-inflation-increase-by-0pt5,2,9,5,0.365,0.0,0.5,
CPI,2026-05-12,will-monthly-inflation-increase-by-0pt6,3,9,5,0.435,1.0,0.6,
CPI,2026-05-12,will-monthly-inflation-increase-by-0pt7,4,9,5,0.125,0.0,0.7,
CPI,2026-05-12,will-monthly-inflation-increase-by-0pt8,5,9,5,0.0135,0.0,0.8,
CPI,2026-05-12,will-monthly-inflation-increase-by-0pt9,6,9,5,0.005,0.0,0.9,
CPI,2026-05-12,will-monthly-inflation-increase-by-1pt0,7,9,5,0.0055,0.0,1.0,
CPI,2026-05-12,will-monthly-inflation-increase-by-1pt1,8,9,5,0.0045,0.0,1.1500000000000001,
CPI,2026-05-12,will-monthly-inflation-increase-by-0pt3,0,9,10,0.0195,0.0,0.25,
CPI,2026-05-12,will-monthly-inflation-increase-by-0pt4,1,9,10,0.095,0.0,0.4,
CPI,2026-05-12,will-monthly-inflation-increase-by-0pt5,2,9,10,0.355,0.0,0.5,
CPI,2026-05-12,will-monthly-inflation-increase-by-0pt6,3,9,10,0.365,1.0,0.6,
CPI,2026-05-12,will-monthly-inflation-increase-by-0pt7,4,9,10,0.135,0.0,0.7,
CPI,2026-05-12,will-monthly-inflation-increase-by-0pt8,5,9,10,0.0265,0.0,0.8,
CPI,2026-05-12,will-monthly-inflation-increase-by-0pt9,6,9,10,0.019,0.0,0.9,
CPI,2026-05-12,will-monthly-inflation-increase-by-1pt0,7,9,10,0.0065,0.0,1.0,
CPI,2026-05-12,will-monthly-inflation-increase-by-1pt1,8,9,10,0.015,0.0,1.1500000000000001,
CPI,2026-05-12,will-monthly-inflation-increase-by-0pt3,0,9,15,0.0255,0.0,0.25,
CPI,2026-05-12,will-monthly-inflation-increase-by-0pt4,1,9,15,0.18,0.0,0.4,
CPI,2026-05-12,will-monthly-inflation-increase-by-0pt5,2,9,15,0.325,0.0,0.5,
CPI,2026-05-12,will-monthly-inflation-increase-by-0pt6,3,9,15,0.265,1.0,0.6,
CPI,2026-05-12,will-monthly-inflation-increase-by-0pt7,4,9,15,0.185,0.0,0.7,
CPI,2026-05-12,will-monthly-inflation-increase-by-0pt8,5,9,15,0.0565,0.0,0.8,
CPI,2026-05-12,will-monthly-inflation-increase-by-0pt9,6,9,15,0.021,0.0,0.9,
CPI,2026-05-12,will-monthly-inflation-increase-by-1pt0,7,9,15,0.0065,0.0,1.0,
CPI,2026-05-12,will-monthly-inflation-increase-by-1pt1,8,9,15,0.0025,0.0,1.1500000000000001,
CPI,2026-05-12,will-monthly-inflation-increase-by-0pt3,0,9,20,0.099,0.0,0.25,
CPI,2026-05-12,will-monthly-inflation-increase-by-0pt4,1,9,20,0.25,0.0,0.4,
CPI,2026-05-12,will-monthly-inflation-increase-by-0pt5,2,9,20,0.385,0.0,0.5,
CPI,2026-05-12,will-monthly-inflation-increase-by-0pt6,3,9,20,0.15,1.0,0.6,
CPI,2026-05-12,will-monthly-inflation-increase-by-0pt7,4,9,20,0.07,0.0,0.7,
CPI,2026-05-12,will-monthly-inflation-increase-by-0pt8,5,9,20,0.0205,0.0,0.8,
CPI,2026-05-12,will-monthly-inflation-increase-by-0pt9,6,9,20,0.021,0.0,0.9,
CPI,2026-05-12,will-monthly-inflation-increase-by-1pt0,7,9,20,0.0095,0.0,1.0,
CPI,2026-05-12,will-monthly-inflation-increase-by-1pt1,8,9,20,0.005,0.0,1.1500000000000001,
CPI,2026-06-10,will-monthly-inflation-increase-by-0pt1,0,9,0,0.0135,0.0,0.05000000000000002,
CPI,2026-06-10,will-monthly-inflation-increase-by-0pt2,1,9,0,0.0085,0.0,0.2,
CPI,2026-06-10,will-monthly-inflation-increase-by-0pt3,2,9,0,0.021,0.0,0.3,
CPI,2026-06-10,will-monthly-inflation-increase-by-0pt4,3,9,0,0.1645,0.0,0.4,
CPI,2026-06-10,will-monthly-inflation-increase-by-0pt5,4,9,0,0.66,1.0,0.5,
CPI,2026-06-10,will-monthly-inflation-increase-by-0pt6,5,9,0,0.16,0.0,0.6,
CPI,2026-06-10,will-monthly-inflation-increase-by-0pt7,6,9,0,0.035,0.0,0.7,
CPI,2026-06-10,will-monthly-inflation-increase-by-0pt8,7,9,0,0.009,0.0,0.8,
CPI,2026-06-10,will-monthly-inflation-increase-by-0pt9,8,9,0,0.01,0.0,0.95,
CPI,2026-06-10,will-monthly-inflation-increase-by-0pt1,0,9,1,0.002,0.0,0.05000000000000002,
CPI,2026-06-10,will-monthly-inflation-increase-by-0pt2,1,9,1,0.003,0.0,0.2,
CPI,2026-06-10,will-monthly-inflation-increase-by-0pt3,2,9,1,0.0295,0.0,0.3,
CPI,2026-06-10,will-monthly-inflation-increase-by-0pt4,3,9,1,0.1775,0.0,0.4,
CPI,2026-06-10,will-monthly-inflation-increase-by-0pt5,4,9,1,0.63,1.0,0.5,
CPI,2026-06-10,will-monthly-inflation-increase-by-0pt6,5,9,1,0.13,0.0,0.6,
CPI,2026-06-10,will-monthly-inflation-increase-by-0pt7,6,9,1,0.0205,0.0,0.7,
CPI,2026-06-10,will-monthly-inflation-increase-by-0pt8,7,9,1,0.0055,0.0,0.8,
CPI,2026-06-10,will-monthly-inflation-increase-by-0pt9,8,9,1,0.02,0.0,0.95,
CPI,2026-06-10,will-monthly-inflation-increase-by-0pt1,0,9,2,0.0035,0.0,0.05000000000000002,
CPI,2026-06-10,will-monthly-inflation-increase-by-0pt2,1,9,2,0.0035,0.0,0.2,
CPI,2026-06-10,will-monthly-inflation-increase-by-0pt3,2,9,2,0.022,0.0,0.3,
CPI,2026-06-10,will-monthly-inflation-increase-by-0pt4,3,9,2,0.1835,0.0,0.4,
CPI,2026-06-10,will-monthly-inflation-increase-by-0pt5,4,9,2,0.585,1.0,0.5,
CPI,2026-06-10,will-monthly-inflation-increase-by-0pt6,5,9,2,0.11,0.0,0.6,
CPI,2026-06-10,will-monthly-inflation-increase-by-0pt7,6,9,2,0.0195,0.0,0.7,
CPI,2026-06-10,will-monthly-inflation-increase-by-0pt8,7,9,2,0.004,0.0,0.8,
CPI,2026-06-10,will-monthly-inflation-increase-by-0pt9,8,9,2,0.007,0.0,0.95,
CPI,2026-06-10,will-monthly-inflation-increase-by-0pt1,0,9,3,0.0035,0.0,0.05000000000000002,
CPI,2026-06-10,will-monthly-inflation-increase-by-0pt2,1,9,3,0.0035,0.0,0.2,
CPI,2026-06-10,will-monthly-inflation-increase-by-0pt3,2,9,3,0.019,0.0,0.3,
CPI,2026-06-10,will-monthly-inflation-increase-by-0pt4,3,9,3,0.1835,0.0,0.4,
CPI,2026-06-10,will-monthly-inflation-increase-by-0pt5,4,9,3,0.58,1.0,0.5,
CPI,2026-06-10,will-monthly-inflation-increase-by-0pt6,5,9,3,0.165,0.0,0.6,
CPI,2026-06-10,will-monthly-inflation-increase-by-0pt7,6,9,3,0.0425,0.0,0.7,
CPI,2026-06-10,will-monthly-inflation-increase-by-0pt8,7,9,3,0.0175,0.0,0.8,
CPI,2026-06-10,will-monthly-inflation-increase-by-0pt9,8,9,3,0.0065,0.0,0.95,
CPI,2026-06-10,will-monthly-inflation-increase-by-0pt1,0,9,5,0.006,0.0,0.05000000000000002,
CPI,2026-06-10,will-monthly-inflation-increase-by-0pt2,1,9,5,0.0105,0.0,0.2,
CPI,2026-06-10,will-monthly-inflation-increase-by-0pt3,2,9,5,0.0365,0.0,0.3,
CPI,2026-06-10,will-monthly-inflation-increase-by-0pt4,3,9,5,0.2155,0.0,0.4,
CPI,2026-06-10,will-monthly-inflation-increase-by-0pt5,4,9,5,0.515,1.0,0.5,
CPI,2026-06-10,will-monthly-inflation-increase-by-0pt6,5,9,5,0.16,0.0,0.6,
CPI,2026-06-10,will-monthly-inflation-increase-by-0pt7,6,9,5,0.0145,0.0,0.7,
CPI,2026-06-10,will-monthly-inflation-increase-by-0pt8,7,9,5,0.023,0.0,0.8,
CPI,2026-06-10,will-monthly-inflation-increase-by-0pt9,8,9,5,0.0115,0.0,0.95,
CPI,2026-06-10,will-monthly-inflation-increase-by-0pt1,0,9,10,0.006,0.0,0.05000000000000002,
CPI,2026-06-10,will-monthly-inflation-increase-by-0pt2,1,9,10,0.004,0.0,0.2,
CPI,2026-06-10,will-monthly-inflation-increase-by-0pt3,2,9,10,0.0155,0.0,0.3,
CPI,2026-06-10,will-monthly-inflation-increase-by-0pt4,3,9,10,0.216,0.0,0.4,
CPI,2026-06-10,will-monthly-inflation-increase-by-0pt5,4,9,10,0.53,1.0,0.5,
CPI,2026-06-10,will-monthly-inflation-increase-by-0pt6,5,9,10,0.23,0.0,0.6,
CPI,2026-06-10,will-monthly-inflation-increase-by-0pt7,6,9,10,0.0265,0.0,0.7,
CPI,2026-06-10,will-monthly-inflation-increase-by-0pt8,7,9,10,0.004,0.0,0.8,
CPI,2026-06-10,will-monthly-inflation-increase-by-0pt9,8,9,10,0.0015,0.0,0.95,
CPI,2026-06-10,will-monthly-inflation-increase-by-0pt1,0,9,15,0.008,0.0,0.05000000000000002,
CPI,2026-06-10,will-monthly-inflation-increase-by-0pt2,1,9,15,0.01,0.0,0.2,
CPI,2026-06-10,will-monthly-inflation-increase-by-0pt3,2,9,15,0.0365,0.0,0.3,
CPI,2026-06-10,will-monthly-inflation-increase-by-0pt4,3,9,15,0.0755,0.0,0.4,
CPI,2026-06-10,will-monthly-inflation-increase-by-0pt5,4,9,15,0.46,1.0,0.5,
CPI,2026-06-10,will-monthly-inflation-increase-by-0pt6,5,9,15,0.32,0.0,0.6,
CPI,2026-06-10,will-monthly-inflation-increase-by-0pt7,6,9,15,0.09,0.0,0.7,
CPI,2026-06-10,will-monthly-inflation-increase-by-0pt8,7,9,15,0.0125,0.0,0.8,
CPI,2026-06-10,will-monthly-inflation-increase-by-0pt9,8,9,15,0.0165,0.0,0.95,
CPI,2026-06-10,will-monthly-inflation-increase-by-0pt1,0,9,20,0.0105,0.0,0.05000000000000002,
CPI,2026-06-10,will-monthly-inflation-increase-by-0pt2,1,9,20,0.0065,0.0,0.2,
CPI,2026-06-10,will-monthly-inflation-increase-by-0pt3,2,9,20,0.0065,0.0,0.3,
CPI,2026-06-10,will-monthly-inflation-increase-by-0pt4,3,9,20,0.066,0.0,0.4,
CPI,2026-06-10,will-monthly-inflation-increase-by-0pt5,4,9,20,0.325,1.0,0.5,
CPI,2026-06-10,will-monthly-inflation-increase-by-0pt6,5,9,20,0.395,0.0,0.6,
CPI,2026-06-10,will-monthly-inflation-increase-by-0pt7,6,9,20,0.13,0.0,0.7,
CPI,2026-06-10,will-monthly-inflation-increase-by-0pt8,7,9,20,0.0155,0.0,0.8,
CPI,2026-06-10,will-monthly-inflation-increase-by-0pt9,8,9,20,0.034,0.0,0.95,
CPI,2026-07-14,will-monthly-inflation-increase-by-0pt1,0,9,0,0.9835,1.0,0.05000000000000002,
CPI,2026-07-14,will-monthly-inflation-increase-by-0pt2,1,9,0,0.0155,0.0,0.2,
CPI,2026-07-14,will-monthly-inflation-increase-by-0pt3,2,9,0,0.0045,0.0,0.3,
CPI,2026-07-14,will-monthly-inflation-increase-by-0pt4,3,9,0,0.001,0.0,0.4,
CPI,2026-07-14,will-monthly-inflation-increase-by-0pt5,4,9,0,0.0015,0.0,0.5,
CPI,2026-07-14,will-monthly-inflation-increase-by-0pt6,5,9,0,0.0035,0.0,0.6,
CPI,2026-07-14,will-monthly-inflation-increase-by-0pt7,6,9,0,0.0005,0.0,0.7,
CPI,2026-07-14,will-monthly-inflation-increase-by-0pt8,7,9,0,0.0005,0.0,0.8,
CPI,2026-07-14,will-monthly-inflation-increase-by-0pt9,8,9,0,0.0005,0.0,0.95,
CPI,2026-07-14,will-monthly-inflation-increase-by-0pt1,0,9,1,0.9815,1.0,0.05000000000000002,
CPI,2026-07-14,will-monthly-inflation-increase-by-0pt2,1,9,1,0.014,0.0,0.2,
CPI,2026-07-14,will-monthly-inflation-increase-by-0pt3,2,9,1,0.0015,0.0,0.3,
CPI,2026-07-14,will-monthly-inflation-increase-by-0pt4,3,9,1,0.0005,0.0,0.4,
CPI,2026-07-14,will-monthly-inflation-increase-by-0pt5,4,9,1,0.0005,0.0,0.5,
CPI,2026-07-14,will-monthly-inflation-increase-by-0pt6,5,9,1,0.0005,0.0,0.6,
CPI,2026-07-14,will-monthly-inflation-increase-by-0pt7,6,9,1,0.0005,0.0,0.7,
CPI,2026-07-14,will-monthly-inflation-increase-by-0pt8,7,9,1,0.0005,0.0,0.8,
CPI,2026-07-14,will-monthly-inflation-increase-by-0pt9,8,9,1,0.0005,0.0,0.95,
CPI,2026-07-14,will-monthly-inflation-increase-by-0pt1,0,9,2,0.9805,1.0,0.05000000000000002,
CPI,2026-07-14,will-monthly-inflation-increase-by-0pt2,1,9,2,0.0125,0.0,0.2,
CPI,2026-07-14,will-monthly-inflation-increase-by-0pt3,2,9,2,0.0005,0.0,0.3,
CPI,2026-07-14,will-monthly-inflation-increase-by-0pt4,3,9,2,0.0005,0.0,0.4,
CPI,2026-07-14,will-monthly-inflation-increase-by-0pt5,4,9,2,0.0015,0.0,0.5,
CPI,2026-07-14,will-monthly-inflation-increase-by-0pt6,5,9,2,0.0005,0.0,0.6,
CPI,2026-07-14,will-monthly-inflation-increase-by-0pt7,6,9,2,0.0005,0.0,0.7,
CPI,2026-07-14,will-monthly-inflation-increase-by-0pt8,7,9,2,0.0005,0.0,0.8,
CPI,2026-07-14,will-monthly-inflation-increase-by-0pt9,8,9,2,0.0005,0.0,0.95,
CPI,2026-07-14,will-monthly-inflation-increase-by-0pt1,0,9,3,0.9815,1.0,0.05000000000000002,
CPI,2026-07-14,will-monthly-inflation-increase-by-0pt2,1,9,3,0.012,0.0,0.2,
CPI,2026-07-14,will-monthly-inflation-increase-by-0pt3,2,9,3,0.0005,0.0,0.3,
CPI,2026-07-14,will-monthly-inflation-increase-by-0pt4,3,9,3,0.0005,0.0,0.4,
CPI,2026-07-14,will-monthly-inflation-increase-by-0pt5,4,9,3,0.0005,0.0,0.5,
CPI,2026-07-14,will-monthly-inflation-increase-by-0pt6,5,9,3,0.0005,0.0,0.6,
CPI,2026-07-14,will-monthly-inflation-increase-by-0pt7,6,9,3,0.0005,0.0,0.7,
CPI,2026-07-14,will-monthly-inflation-increase-by-0pt8,7,9,3,0.0005,0.0,0.8,
CPI,2026-07-14,will-monthly-inflation-increase-by-0pt9,8,9,3,0.0005,0.0,0.95,
CPI,2026-07-14,will-monthly-inflation-increase-by-0pt1,0,9,5,0.9815,1.0,0.05000000000000002,
CPI,2026-07-14,will-monthly-inflation-increase-by-0pt2,1,9,5,0.0095,0.0,0.2,
CPI,2026-07-14,will-monthly-inflation-increase-by-0pt3,2,9,5,0.0075,0.0,0.3,
CPI,2026-07-14,will-monthly-inflation-increase-by-0pt4,3,9,5,0.0055,0.0,0.4,
CPI,2026-07-14,will-monthly-inflation-increase-by-0pt5,4,9,5,0.0055,0.0,0.5,
CPI,2026-07-14,will-monthly-inflation-increase-by-0pt6,5,9,5,0.001,0.0,0.6,
CPI,2026-07-14,will-monthly-inflation-increase-by-0pt7,6,9,5,0.002,0.0,0.7,
CPI,2026-07-14,will-monthly-inflation-increase-by-0pt8,7,9,5,0.002,0.0,0.8,
CPI,2026-07-14,will-monthly-inflation-increase-by-0pt9,8,9,5,0.0015,0.0,0.95,
CPI,2026-07-14,will-monthly-inflation-increase-by-0pt1,0,9,10,0.9835,1.0,0.05000000000000002,
CPI,2026-07-14,will-monthly-inflation-increase-by-0pt2,1,9,10,0.0255,0.0,0.2,
CPI,2026-07-14,will-monthly-inflation-increase-by-0pt3,2,9,10,0.0045,0.0,0.3,
CPI,2026-07-14,will-monthly-inflation-increase-by-0pt4,3,9,10,0.003,0.0,0.4,
CPI,2026-07-14,will-monthly-inflation-increase-by-0pt5,4,9,10,0.0015,0.0,0.5,
CPI,2026-07-14,will-monthly-inflation-increase-by-0pt6,5,9,10,0.002,0.0,0.6,
CPI,2026-07-14,will-monthly-inflation-increase-by-0pt7,6,9,10,0.0115,0.0,0.7,
CPI,2026-07-14,will-monthly-inflation-increase-by-0pt8,7,9,10,0.004,0.0,0.8,
CPI,2026-07-14,will-monthly-inflation-increase-by-0pt9,8,9,10,0.0045,0.0,0.95,
CPI,2026-07-14,will-monthly-inflation-increase-by-0pt1,0,9,15,0.9565,1.0,0.05000000000000002,
CPI,2026-07-14,will-monthly-inflation-increase-by-0pt2,1,9,15,0.0145,0.0,0.2,
CPI,2026-07-14,will-monthly-inflation-increase-by-0pt3,2,9,15,0.0085,0.0,0.3,
CPI,2026-07-14,will-monthly-inflation-increase-by-0pt4,3,9,15,0.003,0.0,0.4,
CPI,2026-07-14,will-monthly-inflation-increase-by-0pt5,4,9,15,0.0045,0.0,0.5,
CPI,2026-07-14,will-monthly-inflation-increase-by-0pt6,5,9,15,0.0025,0.0,0.6,
CPI,2026-07-14,will-monthly-inflation-increase-by-0pt7,6,9,15,0.0035,0.0,0.7,
CPI,2026-07-14,will-monthly-inflation-increase-by-0pt8,7,9,15,0.0045,0.0,0.8,
CPI,2026-07-14,will-monthly-inflation-increase-by-0pt9,8,9,15,0.013,0.0,0.95,
CPI,2026-07-14,will-monthly-inflation-increase-by-0pt1,0,9,20,0.925,1.0,0.05000000000000002,
CPI,2026-07-14,will-monthly-inflation-increase-by-0pt2,1,9,20,0.0405,0.0,0.2,
CPI,2026-07-14,will-monthly-inflation-increase-by-0pt3,2,9,20,0.01,0.0,0.3,
CPI,2026-07-14,will-monthly-inflation-increase-by-0pt4,3,9,20,0.0305,0.0,0.4,
CPI,2026-07-14,will-monthly-inflation-increase-by-0pt5,4,9,20,0.0035,0.0,0.5,
CPI,2026-07-14,will-monthly-inflation-increase-by-0pt6,5,9,20,0.0075,0.0,0.6,
CPI,2026-07-14,will-monthly-inflation-increase-by-0pt7,6,9,20,0.0345,0.0,0.7,
CPI,2026-07-14,will-monthly-inflation-increase-by-0pt8,7,9,20,0.012,0.0,0.8,
CPI,2026-07-14,will-monthly-inflation-increase-by-0pt9,8,9,20,0.0285,0.0,0.95,
CPI,2026-07-14,will-monthly-inflation-increase-by-0pt1,0,9,30,0.87,1.0,0.05000000000000002,
CPI,2026-07-14,will-monthly-inflation-increase-by-0pt2,1,9,30,0.085,0.0,0.2,
CPI,2026-07-14,will-monthly-inflation-increase-by-0pt3,2,9,30,0.03,0.0,0.3,
CPI,2026-07-14,will-monthly-inflation-increase-by-0pt4,3,9,30,0.04,0.0,0.4,
CPI,2026-07-14,will-monthly-inflation-increase-by-0pt5,4,9,30,0.0085,0.0,0.5,
CPI,2026-07-14,will-monthly-inflation-increase-by-0pt6,5,9,30,0.0345,0.0,0.6,
CPI,2026-07-14,will-monthly-inflation-increase-by-0pt7,6,9,30,0.0195,0.0,0.7,
CPI,2026-07-14,will-monthly-inflation-increase-by-0pt8,7,9,30,0.043,0.0,0.8,
CPI,2026-07-14,will-monthly-inflation-increase-by-0pt9,8,9,30,0.0155,0.0,0.95,
