familia,h,eventos_com_leitura,sem_slot,degenerada
FOMC,0,17,1,0
FOMC,1,18,0,0
FOMC,2,18,0,0
FOMC,3,18,0,0
FOMC,5,18,0,0
FOMC,10,18,0,0
FOMC,15,17,1,0
FOMC,20,18,0,0
FOMC,30,17,1,0
FOMC,45,16,2,0
FOMC,60,13,5,0
CPI,0,12,0,0
CPI,1,12,0,0
CPI,2,12,0,0
CPI,3,12,0,0
CPI,5,12,0,0
CPI,10,12,0,0
CPI,15,12,0,0
CPI,20,12,0,0
CPI,30,5,6,1
CPI,45,0,12,0
CPI,60,0,12,0
