alvo,regressor,coef,t_nw,n
d_ff,const,-0.19217298465374458,-1.696900828615055,618
d_ff,d_ff_l1,-0.1851532703942842,-2.676837381265808,618
d_ff,d_ff_l2,-0.048126552750073125,-1.6226042026290197,618
d_ff,d_poly_l0,0.2449639628969627,1.798014958285875,618
d_ff,d_poly_l1,0.09834657968113585,0.8294364442751531,618
d_ff,d_poly_l2,0.1351064965590723,2.139879703271823,618
d_poly,const,0.08783394577658475,1.331206224664674,618
d_poly,d_poly_l1,-0.06006347830826048,-0.9133236271127547,618
d_poly,d_poly_l2,-0.18769804246552657,-2.767973007010273,618
d_poly,d_ff_l0,0.06997868913464945,3.430864947241238,618
d_poly,d_ff_l1,0.11090077199333881,1.9307947025475016,618
d_poly,d_ff_l2,0.016485116642693774,0.9031289876651688,618
