evento,h,realizado,e_poly,modal_poly,e_ff,modal_ff,erro_poly,erro_ff,e_ff_dm,erro_ff_dm,modal_ff_dm
2024-05-01,0,0.0,0.02488800398208066,1.0,-8.000000000000007,1.0,-0.02488800398208066,8.000000000000007,,,0.0
2024-06-12,0,0.0,-0.6213090551181104,1.0,-8.000000000000007,1.0,0.6213090551181104,8.000000000000007,0.0,0.0,1.0
2024-07-31,0,0.0,-1.1177347242921014,1.0,-19.00000000000004,0.0,1.1177347242921014,19.00000000000004,-11.000000000000032,11.000000000000032,1.0
2024-09-18,0,-50.0,-43.91537693459811,1.0,-58.00000000000001,1.0,-6.0846230654018925,8.000000000000007,-46.33333333333332,-3.6666666666666785,1.0
2024-11-07,0,-25.0,-25.08719481813652,1.0,-38.99999999999997,0.0,0.08719481813652052,13.999999999999972,-28.249999999999957,3.2499999999999574,1.0
2024-12-18,0,-25.0,-23.862499999999997,1.0,-32.00000000000003,1.0,-1.1375000000000028,7.000000000000028,-20.600000000000023,-4.399999999999977,1.0
2025-01-29,0,0.0,-0.6362275449101796,1.0,-12.99999999999999,0.0,0.6362275449101796,12.99999999999999,-2.3333333333333126,2.3333333333333126,1.0
2025-03-19,0,0.0,-0.2869261477045908,1.0,-12.99999999999999,0.0,0.2869261477045908,12.99999999999999,-1.9999999999999805,1.9999999999999805,1.0
2025-05-07,0,0.0,-0.4625,1.0,-11.000000000000032,1.0,0.4625,11.000000000000032,0.24999999999997335,-0.24999999999997335,1.0
2025-06-18,0,0.0,-0.43728135932033985,1.0,-9.999999999999964,1.0,0.43728135932033985,9.999999999999964,1.2222222222222658,-1.2222222222222658,1.0
2025-07-30,0,0.0,-0.8495752123938031,1.0,-8.999999999999986,1.0,0.8495752123938031,8.999999999999986,2.1000000000000174,-2.1000000000000174,1.0
2025-09-17,0,-25.0,-27.354260089686097,1.0,-43.000000000000014,0.0,2.354260089686097,18.000000000000014,-32.0909090909091,7.090909090909101,1.0
2025-12-10,0,-25.0,-24.475262368815592,1.0,-25.0,1.0,-0.5247376311844079,0.0,-13.499999999999998,-11.500000000000002,1.0
2026-01-28,0,0.0,-0.062437562437562426,1.0,-6.000000000000005,1.0,0.062437562437562426,6.000000000000005,4.615384615384611,-4.615384615384611,1.0
2026-03-18,0,0.0,-0.1,1.0,-3.000000000000025,1.0,0.1,3.000000000000025,7.285714285714263,-7.285714285714263,1.0
2026-04-29,0,0.0,-0.049950049950049966,1.0,-4.0000000000000036,1.0,0.049950049950049966,4.0000000000000036,5.800000000000001,-5.800000000000001,1.0
2026-06-17,0,0.0,-0.012462612163509475,1.0,1.000000000000023,1.0,0.012462612163509475,-1.000000000000023,10.437500000000027,-10.437500000000027,1.0
2024-05-01,1,0.0,-0.08702138239681756,1.0,-8.000000000000007,1.0,0.08702138239681756,8.000000000000007,,,0.0
2024-06-12,1,0.0,-0.7536123567513704,1.0,-8.000000000000007,1.0,0.7536123567513704,8.000000000000007,0.0,0.0,1.0
2024-07-31,1,0.0,-1.3069871159563926,1.0,-17.99999999999997,0.0,1.3069871159563926,17.99999999999997,-9.999999999999964,9.999999999999964,1.0
2024-09-18,1,-50.0,-44.65965346534653,1.0,-58.00000000000001,1.0,-5.34034653465347,8.000000000000007,-46.66666666666668,-3.3333333333333215,1.0
2024-11-07,1,-25.0,-24.596573982125125,1.0,-40.000000000000036,0.0,-0.40342601787487453,15.000000000000036,-29.500000000000036,4.5000000000000355,1.0
2024-12-18,1,-25.0,-24.42614770459082,1.0,-33.00000000000001,1.0,-0.5738522954091785,8.000000000000007,-21.6,-3.3999999999999986,1.0
2025-01-29,1,0.0,-0.5242136794807788,1.0,-12.99999999999999,0.0,0.5242136794807788,12.99999999999999,-2.166666666666652,2.166666666666652,1.0
2025-03-19,1,0.0,-0.28721278721278726,1.0,-12.99999999999999,0.0,0.28721278721278726,12.99999999999999,-1.8571428571428417,1.8571428571428417,1.0
2025-05-07,1,0.0,-0.5434782608695652,1.0,-11.000000000000032,1.0,0.5434782608695652,11.000000000000032,0.3749999999999698,-0.3749999999999698,1.0
2025-06-18,1,0.0,-0.4995004995004996,1.0,-8.999999999999986,1.0,0.4995004995004996,8.999999999999986,2.3333333333333517,-2.3333333333333517,1.0
2025-07-30,1,0.0,-0.7492507492507493,1.0,-8.999999999999986,1.0,0.7492507492507493,8.999999999999986,2.1000000000000174,-2.1000000000000174,1.0
2025-09-17,1,-25.0,-26.899050474762618,1.0,-41.99999999999999,0.0,1.8990504747626176,16.999999999999993,-31.090909090909083,6.090909090909083,1.0
2025-10-29,1,-25.0,-25.050050050050054,1.0,-39.000000000000014,0.0,0.050050050050053585,14.000000000000014,-27.58333333333335,2.58333333333335,1.0
2025-12-10,1,-25.0,-24.084754262788366,1.0,-25.0,1.0,-0.9152457372116345,0.0,-13.384615384615383,-11.615384615384617,1.0
2026-01-28,1,0.0,-0.17517517517517517,1.0,-5.000000000000027,1.0,0.17517517517517517,5.000000000000027,5.785714285714262,-5.785714285714262,1.0
2026-03-18,1,0.0,-0.10010010010010009,1.0,-3.000000000000025,1.0,0.10010010010010009,3.000000000000025,7.399999999999979,-7.399999999999979,1.0
2026-04-29,1,0.0,-0.024999999999999998,1.0,-4.0000000000000036,1.0,0.024999999999999998,4.0000000000000036,5.937500000000002,-5.937500000000002,1.0
2026-06-17,1,0.0,-0.07488766849725412,1.0,1.000000000000023,1.0,0.07488766849725412,-1.000000000000023,10.588235294117675,-10.588235294117675,1.0
2024-05-01,2,0.0,-0.3045748383888613,1.0,-8.000000000000007,1.0,0.3045748383888613,8.000000000000007,,,0.0
2024-06-12,2,0.0,-0.8487269096355466,1.0,-7.000000000000028,1.0,0.8487269096355466,7.000000000000028,0.9999999999999787,-0.9999999999999787,1.0
2024-07-31,2,0.0,-1.5059494298463063,1.0,-16.999999999999993,0.0,1.5059494298463063,16.999999999999993,-9.499999999999975,9.499999999999975,1.0
2024-09-18,2,-50.0,-44.257264529058126,1.0,-54.999999999999986,1.0,-5.742735470941874,4.999999999999986,-44.33333333333331,-5.666666666666693,1.0
2024-11-07,2,-25.0,-25.04346746150025,1.0,-38.99999999999997,0.0,0.04346746150024927,13.999999999999972,-29.749999999999968,4.749999999999968,1.0
2024-12-18,2,-25.0,-24.20119820269596,1.0,-34.999999999999964,1.0,-0.7988017973040407,9.999999999999964,-24.79999999999997,-0.20000000000003126,1.0
2025-01-29,2,0.0,-0.885286783042394,1.0,-12.00000000000001,1.0,0.885286783042394,12.00000000000001,-1.8333333333333517,1.8333333333333517,1.0
2025-03-19,2,0.0,-0.3740648379052369,1.0,-12.99999999999999,0.0,0.3740648379052369,12.99999999999999,-2.5714285714285676,2.5714285714285676,1.0
2025-05-07,2,0.0,-0.7117882117882118,1.0,-11.000000000000032,1.0,0.7117882117882118,11.000000000000032,-0.2500000000000391,0.2500000000000391,1.0
2025-06-18,2,0.0,-0.6739890164752871,1.0,-7.000000000000028,1.0,0.6739890164752871,7.000000000000028,3.7777777777777484,-3.7777777777777484,1.0
2025-07-30,2,0.0,-1.3533834586466167,1.0,-8.000000000000007,1.0,1.3533834586466167,8.000000000000007,2.399999999999995,-2.399999999999995,1.0
2025-09-17,2,-25.0,-27.376188094047023,1.0,-39.000000000000014,0.0,2.3761880940470235,14.000000000000014,-28.81818181818183,3.8181818181818308,1.0
2025-10-29,2,-25.0,-24.987512487512493,1.0,-34.00000000000003,1.0,-0.012487512487506791,9.000000000000028,-23.50000000000003,-1.4999999999999716,1.0
2025-12-10,2,-25.0,-23.597318768619665,1.0,-27.0,1.0,-1.4026812313803347,2.0,-16.615384615384613,-8.384615384615387,1.0
2026-01-28,2,0.0,-0.2623688155922039,1.0,-5.000000000000027,1.0,0.2623688155922039,5.000000000000027,4.785714285714263,-4.785714285714263,1.0
2026-03-18,2,0.0,-0.07507507507507508,1.0,-3.000000000000025,1.0,0.07507507507507508,3.000000000000025,6.466666666666647,-6.466666666666647,1.0
2026-04-29,2,0.0,-0.024999999999999998,1.0,-4.0000000000000036,1.0,0.024999999999999998,4.0000000000000036,5.0625000000000036,-5.0625000000000036,1.0
2026-06-17,2,0.0,-0.13729405891163257,1.0,0.9999999999999787,1.0,0.13729405891163257,-0.9999999999999787,9.764705882352926,-9.764705882352926,1.0
2024-05-01,3,0.0,-0.22321428571428564,1.0,-8.000000000000007,1.0,0.22321428571428564,8.000000000000007,,,0.0
2024-06-12,3,0.0,-1.0847880299251869,1.0,-7.000000000000028,1.0,1.0847880299251869,7.000000000000028,0.9999999999999787,-0.9999999999999787,1.0
2024-07-31,3,0.0,-1.5912481352560914,1.0,-16.999999999999993,0.0,1.5912481352560914,16.999999999999993,-9.499999999999975,9.499999999999975,1.0
2024-09-18,3,-50.0,-37.22070506454817,0.0,-54.999999999999986,1.0,-12.77929493545183,4.999999999999986,-44.33333333333331,-5.666666666666693,1.0
2024-11-07,3,-25.0,-25.111773472429213,1.0,-41.99999999999999,0.0,0.11177347242921343,16.999999999999993,-32.749999999999986,7.749999999999986,1.0
2024-12-18,3,-25.0,-24.544205794205798,1.0,-34.999999999999964,1.0,-0.45579420579420216,9.999999999999964,-24.199999999999964,-0.8000000000000362,1.0
2025-01-29,3,0.0,-0.5242136794807788,1.0,-12.00000000000001,1.0,0.5242136794807788,12.00000000000001,-1.3333333333333481,1.3333333333333481,1.0
2025-03-19,3,0.0,-0.34930139720558884,1.0,-12.99999999999999,0.0,0.34930139720558884,12.99999999999999,-2.1428571428571335,2.1428571428571335,1.0
2025-05-07,3,0.0,-0.6490264603095357,1.0,-11.000000000000032,1.0,0.6490264603095357,11.000000000000032,0.12499999999996447,-0.12499999999996447,1.0
2025-06-18,3,0.0,-0.7992007992007993,1.0,-7.000000000000028,1.0,0.7992007992007993,7.000000000000028,4.111111111111082,-4.111111111111082,1.0
2025-07-30,3,0.0,-1.6453953953953955,1.0,-8.000000000000007,1.0,1.6453953953953955,8.000000000000007,2.6999999999999957,-2.6999999999999957,1.0
2025-09-17,3,-25.0,-26.818866031108882,1.0,-39.000000000000014,0.0,1.8188660311088825,14.000000000000014,-28.545454545454554,3.545454545454554,1.0
2025-10-29,3,-25.0,-25.062625250501004,1.0,-34.00000000000003,1.0,0.06262525050100365,9.000000000000028,-23.25000000000002,-1.7499999999999787,1.0
2025-12-10,3,-25.0,-23.288690476190478,1.0,-27.0,1.0,-1.711309523809522,2.0,-16.38461538461538,-8.61538461538462,1.0
2026-01-28,3,0.0,-0.1753507014028056,1.0,-5.000000000000027,1.0,0.1753507014028056,5.000000000000027,4.999999999999979,-4.999999999999979,1.0
2026-03-18,3,0.0,-0.075,1.0,-3.000000000000025,1.0,0.075,3.000000000000025,6.66666666666665,-6.66666666666665,1.0
2026-04-29,3,0.0,-0.012487512487512488,1.0,-4.0000000000000036,1.0,0.012487512487512488,4.0000000000000036,5.250000000000005,-5.250000000000005,1.0
2026-06-17,3,0.0,-0.08736894658012981,1.0,0.9999999999999787,1.0,0.08736894658012981,-0.9999999999999787,9.941176470588223,-9.941176470588223,1.0
2024-05-01,5,0.0,-0.2540902330193357,1.0,-7.000000000000028,1.0,0.2540902330193357,7.000000000000028,,,0.0
2024-06-12,5,0.0,-1.4860139860139863,1.0,-8.000000000000007,1.0,1.4860139860139863,8.000000000000007,-0.9999999999999787,0.9999999999999787,1.0
2024-07-31,5,0.0,-2.544687189672294,1.0,-16.000000000000014,0.0,2.544687189672294,16.000000000000014,-8.499999999999996,8.499999999999996,1.0
2024-09-18,5,-50.0,-34.642503711034145,0.0,-48.00000000000004,1.0,-15.357496288965855,-1.9999999999999574,-37.66666666666669,-12.333333333333307,1.0
2024-11-07,5,-25.0,-25.44220229197808,1.0,-41.99999999999999,0.0,0.4422022919780808,16.999999999999993,-34.74999999999997,9.749999999999972,1.0
2024-12-18,5,-25.0,-24.012993503248374,1.0,-34.999999999999964,1.0,-0.9870064967516257,9.999999999999964,-25.799999999999947,0.7999999999999474,1.0
2025-01-29,5,0.0,-0.32418952618453856,1.0,-11.000000000000032,1.0,0.32418952618453856,11.000000000000032,-1.666666666666691,1.666666666666691,1.0
2025-03-19,5,0.0,-0.36195706440339487,1.0,-12.99999999999999,0.0,0.36195706440339487,12.99999999999999,-3.4285714285714057,3.4285714285714057,1.0
2025-05-07,5,0.0,-1.3184079601990044,1.0,-12.99999999999999,0.0,1.3184079601990044,12.99999999999999,-2.9999999999999805,2.9999999999999805,1.0
2025-06-18,5,0.0,-0.937031484257871,1.0,-6.00000000000005,1.0,0.937031484257871,6.00000000000005,4.3333333333332895,-4.3333333333332895,1.0
2025-07-30,5,0.0,-1.1113886113886116,1.0,-8.000000000000007,1.0,1.1113886113886116,8.000000000000007,1.900000000000004,-1.900000000000004,1.0
2025-09-17,5,-25.0,-28.613184079601986,1.0,-39.000000000000014,0.0,3.613184079601986,14.000000000000014,-29.272727272727277,4.272727272727277,1.0
2025-10-29,5,-25.0,-24.762737262737264,1.0,-31.00000000000005,1.0,-0.2372627372627356,6.00000000000005,-20.916666666666707,-4.083333333333293,1.0
2025-12-10,5,-25.0,-23.192771084337352,1.0,-26.00000000000002,1.0,-1.8072289156626482,1.0000000000000213,-16.230769230769237,-8.769230769230763,1.0
2026-01-28,5,0.0,-0.4620379620379621,1.0,-4.0000000000000036,1.0,0.4620379620379621,4.0000000000000036,5.142857142857153,-5.142857142857153,1.0
2026-03-18,5,0.0,-0.12487512487512487,1.0,-3.000000000000025,1.0,0.12487512487512487,3.000000000000025,5.799999999999988,-5.799999999999988,1.0
2026-04-29,5,0.0,-0.06243756243756245,1.0,-4.0000000000000036,1.0,0.06243756243756245,4.0000000000000036,4.437500000000011,-4.437500000000011,1.0
2026-06-17,5,0.0,-0.03744383424862707,1.0,0.9999999999999787,1.0,0.03744383424862707,-0.9999999999999787,9.176470588235286,-9.176470588235286,1.0
2024-05-01,10,0.0,-0.5019831432821021,1.0,-8.000000000000007,1.0,0.5019831432821021,8.000000000000007,,,0.0
2024-06-12,10,0.0,-0.8552305404065443,1.0,-8.000000000000007,1.0,0.8552305404065443,8.000000000000007,0.0,0.0,1.0
2024-07-31,10,0.0,-1.4665841584158417,1.0,-12.99999999999999,0.0,1.4665841584158417,12.99999999999999,-4.999999999999982,4.999999999999982,1.0
2024-09-18,10,-50.0,-33.88764324862979,0.0,-40.000000000000036,1.0,-16.112356751370207,-9.999999999999964,-30.333333333333368,-19.666666666666632,0.0
2024-11-07,10,-25.0,-23.198365527488857,1.0,-31.00000000000005,1.0,-1.801634472511143,6.00000000000005,-26.25000000000004,1.250000000000039,1.0
2024-12-18,10,-25.0,-22.1350274040857,1.0,-27.000000000000046,1.0,-2.864972595914299,2.000000000000046,-22.00000000000003,-2.9999999999999716,1.0
2025-01-29,10,0.0,-0.8598887202832575,1.0,-12.99999999999999,0.0,0.8598887202832575,12.99999999999999,-8.499999999999968,8.499999999999968,1.0
2025-03-19,10,0.0,-0.6927109335996005,1.0,-12.99999999999999,0.0,0.6927109335996005,12.99999999999999,-7.285714285714257,7.285714285714257,1.0
2025-05-07,10,0.0,-2.8970223325062032,1.0,-12.00000000000001,1.0,2.8970223325062032,12.00000000000001,-5.3749999999999964,5.3749999999999964,1.0
2025-06-18,10,0.0,-0.5866200698951574,1.0,-8.000000000000007,1.0,0.5866200698951574,8.000000000000007,-0.7777777777777706,0.7777777777777706,1.0
2025-07-30,10,0.0,-1.2612387612387612,1.0,-8.999999999999986,1.0,1.2612387612387612,8.999999999999986,-1.6999999999999726,1.6999999999999726,1.0
2025-09-17,10,-25.0,-27.8546277665996,1.0,-41.000000000000014,0.0,2.8546277665995987,16.000000000000014,-33.54545454545455,8.545454545454547,1.0
2025-10-29,10,-25.0,-25.261324041811847,1.0,-27.000000000000046,1.0,0.26132404181184654,2.000000000000046,-18.83333333333337,-6.166666666666629,1.0
2025-12-10,10,-25.0,-22.324083250743307,1.0,-16.000000000000014,1.0,-2.675916749256693,-8.999999999999986,-8.307692307692308,-16.692307692307693,0.0
2026-01-28,10,0.0,-1.110833749375936,1.0,-7.000000000000028,1.0,1.110833749375936,7.000000000000028,-0.5000000000000142,0.5000000000000142,1.0
2026-03-18,10,0.0,-0.35,1.0,-6.000000000000005,1.0,0.35,6.000000000000005,0.533333333333343,-0.533333333333343,1.0
2026-04-29,10,0.0,-0.06313131313131311,1.0,-3.000000000000025,1.0,0.06313131313131311,3.000000000000025,3.4999999999999893,-3.4999999999999893,1.0
2026-06-17,10,0.0,-0.08728179551122195,1.0,0.9999999999999787,1.0,0.08728179551122195,-0.9999999999999787,7.294117647058817,-7.294117647058817,1.0
2024-05-01,15,0.0,-0.7560733763014379,1.0,-8.000000000000007,1.0,0.7560733763014379,8.000000000000007,,,0.0
2024-06-12,15,0.0,-0.5854509217737917,1.0,-7.000000000000028,1.0,0.5854509217737917,7.000000000000028,0.9999999999999787,-0.9999999999999787,1.0
2024-07-31,15,0.0,-2.4975024975024978,1.0,-12.99999999999999,0.0,2.4975024975024978,12.99999999999999,-5.499999999999972,5.499999999999972,1.0
2024-09-18,15,-50.0,-31.34549038935436,0.0,-34.999999999999964,0.0,-18.65450961064564,-15.000000000000036,-25.66666666666662,-24.33333333333338,0.0
2024-11-07,15,-25.0,-23.391521197007485,1.0,-32.00000000000003,1.0,-1.608478802992515,7.000000000000028,-28.750000000000032,3.750000000000032,1.0
2024-12-18,15,-25.0,-19.116522182559915,1.0,-20.000000000000018,1.0,-5.883477817440085,-4.999999999999982,-16.000000000000014,-8.999999999999986,1.0
2025-01-29,15,0.0,-0.8723828514456629,1.0,-9.999999999999964,1.0,0.8723828514456629,9.999999999999964,-7.499999999999959,7.499999999999959,1.0
2025-03-19,15,0.0,-2.020582329317269,1.0,-12.00000000000001,1.0,2.020582329317269,12.00000000000001,-8.42857142857144,8.42857142857144,1.0
2025-05-07,15,0.0,-2.490089197224975,1.0,-11.000000000000032,1.0,2.490089197224975,11.000000000000032,-6.37500000000003,6.37500000000003,1.0
2025-06-18,15,0.0,-1.0406218655967905,1.0,-8.000000000000007,1.0,1.0406218655967905,8.000000000000007,-2.6666666666666687,2.6666666666666687,1.0
