familia,filtro,series,n_deltas,acf1,acf1_lo,acf1_hi,acf2,acf2_lo,acf2_hi,vr2,vr2_lo,vr2_hi,vr5,vr5_lo,vr5_hi
FOMC,todos,76,8216,-0.1291189807964636,-0.17719430019597576,-0.0894533053956791,-0.0499339136798579,-0.10542013517826991,0.0027266218921794903,0.8689536847420698,0.8182225892202486,0.9088537747889393,0.7836051635400555,0.7115122327158621,0.8572772721861813
FOMC,interior,65,5286,-0.1296062604546004,-0.17818052637082357,-0.0896648596522821,-0.05007637854726422,-0.1053250069823969,0.00265324656666506,0.8709188915026307,0.8194164946450879,0.9111550656370727,0.7920859815137483,0.7187784670227767,0.8665142047482578
CPI,todos,74,2266,0.0030734517086644883,-0.10099470130327537,0.07937617646880012,0.04943650195789772,-0.01709811289762651,0.11383316001317693,0.8272028665517069,0.7195875000052008,0.946949566650301,0.7235490663532952,0.49594414686098853,0.9673330496035499
CPI,interior,61,1519,-0.012551732886523304,-0.10331960678465907,0.08610137309009866,0.045806266616629586,-0.016918417465175268,0.12552557990169844,0.8839638438935725,0.7669248404043307,1.0059157101930563,0.8334168688605977,0.5884965271963325,1.1252576704506172
Payrolls,todos,176,10326,-0.16562233764902778,-0.20257227841654318,-0.12007419147055684,-0.018591346640275674,-0.049667488312103866,0.010776775008128481,0.7085896147448604,0.6670830284696238,0.749185841203002,0.4248662683833261,0.379960081241873,0.4772148779777887
Payrolls,interior,174,9351,-0.16405500979027854,-0.19953148748793173,-0.11954905095748716,-0.017223728735791397,-0.049657293777811834,0.013332641188464422,0.7104178636590253,0.6714902528697931,0.7517706442979236,0.4263093469671397,0.3807835578311428,0.47953658780121183
