familia,h,n,eventos,brier,brier_lo,brier_hi,logloss,brier_uniforme,bss
CPI,0,74,12,0.07832674324324325,0.04515207230113636,0.11976244758427618,0.23610725146262143,0.13423423423423425,0.41649204697986575
CPI,1,74,12,0.06990459797297298,0.041793402061830416,0.10612811743706088,0.21765448969666296,0.13423423423423425,0.4792342030201342
CPI,2,74,12,0.06952543918918921,0.04124923975520833,0.10584277217908895,0.21750342062004444,0.13423423423423425,0.4820588087248321
CPI,3,74,12,0.07006678716216216,0.04119016955325535,0.10749256881764065,0.22031659174625437,0.13423423423423425,0.47802594798657727
CPI,5,74,12,0.0753334358108108,0.04373100847039473,0.11739775950237769,0.23504932965193187,0.13423423423423425,0.43879118288590624
CPI,10,74,12,0.07579177702702702,0.04635706938422161,0.11441708260869561,0.23961303918841947,0.13423423423423425,0.4353766946308726
CPI,15,74,12,0.0828854222972973,0.051973488327526136,0.12093294726449273,0.25862000396822377,0.13423423423423425,0.3825314177852349
CPI,20,74,12,0.09163717229729729,0.059451220422345775,0.12749721173406858,0.2832688552492419,0.13423423423423425,0.31733381711409414
CPI,30,29,5,0.09369307758620692,0.037384141891891896,0.15791346,0.29097375788123714,0.14099616858237554,0.33549203125000016
FOMC,0,72,17,0.0067315000000000005,0.0002099922098214285,0.019851410357142864,0.029881618068058242,0.1798611111111111,0.9625738996138996
FOMC,1,76,18,0.005962848684210524,0.00021579055479452046,0.01761915489864865,0.028554102051169178,0.18026315789473682,0.9669214233576643
FOMC,2,76,18,0.006378105263157894,0.0003973939448051948,0.018396296396396387,0.0320464327608006,0.18026315789473682,0.9646178102189781
FOMC,3,76,18,0.011954108552631576,0.00037567731932736185,0.03586727522329691,0.043281830954578916,0.18026315789473682,0.9336852372262774
FOMC,5,76,18,0.014795203947368423,0.0006048041385135137,0.04365519567868382,0.05371941529087451,0.18026315789473682,0.9179244160583941
FOMC,10,76,18,0.016668730263157894,0.001450951442307692,0.046280175087837834,0.06482467883487791,0.18026315789473682,0.9075311313868613
FOMC,15,72,17,0.022319944444444448,0.002618482397498098,0.058070749935515906,0.08700041457827593,0.1798611111111111,0.875904555984556
FOMC,20,76,18,0.035461661184210534,0.003974544896929824,0.08019161742237442,0.11659397114069096,0.18026315789473682,0.8032783759124087
FOMC,30,72,17,0.034249718750000005,0.009604470986729454,0.0769759130514704,0.131493809863622,0.1798611111111111,0.8095768532818532
FOMC,45,68,16,0.03036816911764706,0.015085968822463769,0.049798672250812574,0.132017187873513,0.17941176470588238,0.8307347950819672
FOMC,60,55,13,0.0599254,0.037713065789141416,0.08324790543981479,0.21344288304536777,0.18,0.6670811111111111
pooled,0,146,29,0.0430195,0.022166840040467622,0.0673012216486353,0.13440693910365878,0.1567351598173516,0.7255274435542607
pooled,1,150,30,0.03750744500000001,0.020664674662162163,0.05756159591181506,0.12184362662294612,0.15755555555555553,0.7619414633286318
pooled,2,150,30,0.037530790000000015,0.020466671230562755,0.05784923320027372,0.12353854677136092,0.15755555555555553,0.7617932933709448
pooled,3,150,30,0.040623030000000004,0.021761975489902195,0.06373564206309282,0.1306189796118055,0.15755555555555553,0.742166946403385
pooled,5,150,30,0.044660731666666655,0.023513884510758615,0.06977417546400734,0.1431755063756628,0.15755555555555553,0.7165397849083216
pooled,10,150,30,0.0458361,0.025148251224686773,0.0703137028296753,0.15105360327595843,0.15755555555555553,0.70907976022567
pooled,15,146,29,0.05301751541095891,0.02908106028405537,0.07907778383169935,0.17398568591290703,0.1567351598173516,0.6617382119446467
pooled,20,150,30,0.06317491333333333,0.03735762100713012,0.0898944383106024,0.19882024730090944,0.15755555555555553,0.5990308744710859
pooled,30,101,22,0.051317613861386134,0.0231671061376066,0.08636246964340959,0.17728508206669966,0.16870187018701868,0.6958088620802086
pooled,45,68,16,0.03036816911764706,0.015085968822463769,0.049798672250812574,0.132017187873513,0.17941176470588238,0.8307347950819672
pooled,60,55,13,0.0599254,0.037713065789141416,0.08324790543981479,0.21344288304536777,0.18,0.6670811111111111
