tercil,n,mercados,volume_mediano,brier,brier_h0
baixo,265,27,5010507.074128,0.041166792452830184,0.017169824074074077
médio,265,26,23551704.395621,0.01003441037735849,0.0005166799999999995
alto,265,25,67368762.49652,0.01238893396226415,0.00040828750000000013
