recorte,n,bins,brier,confiabilidade,resolucao,incerteza,gamma_otimo,a,b,se_a,se_b,wald,p_wald
pooled,1416,10,0.045879496645480224,0.002608058347330963,0.11930845801044242,0.16244084953238214,1.2,-0.018129681454656526,1.0835482740339688,0.0049651383583286775,0.025450209547415132,16.846570277585627,0.00021969174817483396
h=0,146,5,0.0430195,0.0015754787956621017,0.11833580558012907,0.1591762056671045,1.1,-0.011350436678999798,1.0368008304350491,0.005958560754169871,0.02823873410676907,3.7503084955778103,0.15333131400462108
h=20,150,5,0.06317491333333333,0.0037977575507558187,0.10215215712236567,0.16000000000000003,0.95,-0.009705900609038691,1.0431745404044501,0.009931719993315989,0.04925820543008462,2.588659023067649,0.2740815712701994
FOMC,795,5,0.021196712264150944,0.0008762903250545691,0.16124955472577546,0.18055614888651558,1.45,-0.016519799998122593,1.0687292459743707,0.005340661341734073,0.02324030048197577,12.270521494281802,0.0021651605848426307
CPI,621,5,0.077478230273752,0.002087605976970806,0.0574968389535184,0.136188838842343,1.1,-0.025958880379673283,1.1458806840404758,0.014013301767911799,0.08811190907443363,4.763250710421431,0.09240027212983827
