métrica,valor,nota
giro diário médio,0.39634122516246634,fração do patrimônio
giro desfeito em 1–2 pregões,0.4188229141989095,backtest_v1
custo pago (pp),2.964632364214845,2 bps por lado
breakeven (bps por lado),22.86852263763404,backtest_v1
Σ|w| média,1.9146333768997865,
views ativas por dia,1.9919786096256684,
