mês,Kairós,SPY,K > SPY
2025-02,-0.5900807147878551,-1.0969128813379303,True
2025-03,-6.851332463922722,-5.571930509365131,False
2025-04,0.7134858100878994,-0.8670166230189347,True
2025-05,5.420421840765122,6.284504464464624,False
2025-06,5.67671655775579,5.13860145836369,True
2025-07,2.9439928487967393,2.3031648578059727,True
2025-08,2.45520649347144,2.0519482041023274,True
2025-09,2.7742986197689223,3.562033510828466,False
2025-10,5.013171546511597,2.3837393576301436,True
2025-11,0.9471078541428257,0.19500049129081987,True
2025-12,-0.7916811257339673,0.07975029584432747,False
2026-01,2.9160608650023345,1.4737818820090842,True
2026-02,3.517625105076605,-0.8642046247569812,True
2026-03,-8.505424338477486,-4.937956664344267,False
2026-04,10.633412279807741,10.505268686597313,True
2026-05,6.708154187806703,5.262575303750361,True
2026-06,-2.0923695077320614,-1.029256644383858,False
2026-07,-3.0046348647470356,0.03481791700583603,False
2026-08,2.882075340663781,2.882075340663781,False
