início,fundo,recuperação,profundidade (%),pregões
2025-02-20,2025-04-08,2025-06-26,-19.649797618850585,88
2026-03-02,2026-03-30,2026-04-24,-10.271823405120827,39
2026-06-03,2026-07-30,em aberto,-6.001794540924754,45
