data,ir,beta
2025-02-10,,
2025-02-11,,
2025-02-12,,
2025-02-13,,
2025-02-14,,
2025-02-18,,
2025-02-19,,
2025-02-20,,
2025-02-21,,
2025-02-24,,
2025-02-25,,
2025-02-26,,
2025-02-27,,
2025-02-28,,
2025-03-03,,
2025-03-04,,
2025-03-05,,
2025-03-06,,
2025-03-07,,
2025-03-10,,
2025-03-11,,
2025-03-12,,
2025-03-13,,
2025-03-14,,
2025-03-17,,
2025-03-18,,
2025-03-19,,
2025-03-20,,
2025-03-21,,
2025-03-24,,
2025-03-25,,
2025-03-26,,
2025-03-27,,
2025-03-28,,
2025-03-31,,
2025-04-01,,
2025-04-02,,
2025-04-03,,
2025-04-04,,
2025-04-07,,
2025-04-08,,
2025-04-09,,
2025-04-10,,
2025-04-11,,
2025-04-14,,
2025-04-15,,
2025-04-16,,
2025-04-17,,
2025-04-21,,
2025-04-22,,
2025-04-23,,
2025-04-24,,
2025-04-25,,
2025-04-28,,
2025-04-29,,
2025-04-30,,
2025-05-01,,
2025-05-02,,
2025-05-05,,
2025-05-06,,
2025-05-07,,
2025-05-08,,
2025-05-09,0.6358190222438382,0.972492848811122
2025-05-12,-0.16367822965893547,0.9617281618724758
2025-05-13,0.0988920495211526,0.9623059369504394
2025-05-14,-0.09407859528827148,0.9624735443817436
2025-05-15,0.008342358724035293,0.9629333586710949
2025-05-16,-0.07096480493434638,0.962815466823677
2025-05-19,-0.13712191039283936,0.9627358328630224
2025-05-20,-0.2409706413951123,0.9626927740314564
2025-05-21,-0.196072998618575,0.9624549109954595
2025-05-22,-0.16291986221264743,0.9615232746926927
2025-05-23,-0.17790996404436576,0.9615984287028773
2025-05-27,-0.044513852655304116,0.9622259435477615
2025-05-28,-8.096207237536966e-06,0.9620743712981558
2025-05-29,-0.03439932775371277,0.9620589651367552
2025-05-30,-0.4691731634925478,0.9593754263424333
2025-06-02,-0.4538282807247463,0.9587858828533591
2025-06-03,-0.43411090690149656,0.9585945399619613
2025-06-04,-0.21598509721553022,0.9589649389798609
2025-06-05,-0.12492316993967621,0.9587548142788218
2025-06-06,-0.0698837194946309,0.9590802678075603
2025-06-09,-0.03640974916211853,0.9566318507783391
2025-06-10,0.012857291574062159,0.9567777517231166
2025-06-11,0.07691789990268581,0.9579889272391007
2025-06-12,0.04235233363820401,0.9579387111406925
2025-06-13,0.03560947335370731,0.9570060003931171
2025-06-16,0.004749247595006406,0.9570050911402268
2025-06-17,0.065850084359664,0.9565507149522094
2025-06-18,0.23876648401778397,0.9572122191949588
2025-06-20,0.3353886596606279,0.9570103054399633
2025-06-23,0.41646544475752384,0.9572712327592712
2025-06-24,0.434420354406455,0.95726556737744
2025-06-25,0.5468591388838336,0.9573139561799924
2025-06-26,0.6184921517541077,0.9566874744273791
2025-06-27,0.8227930331854518,0.9563451191845393
2025-06-30,0.8156678908447225,0.9549501862358174
2025-07-01,0.7115180238262998,0.955214011162442
2025-07-02,0.5957822936625843,0.9551542226274027
2025-07-03,0.688289271711305,0.9554350286313973
2025-07-07,1.1319470350100056,0.9394233318932502
2025-07-08,0.6894041856599921,0.9426212913616395
2025-07-09,0.642629869758257,0.9428814408485686
2025-07-10,0.8133000445806513,0.9383314531410611
2025-07-11,0.9364310362444106,0.8558670745151429
2025-07-14,0.39686597348126207,0.8710629171341377
2025-07-15,0.13537136282775683,0.8365335382488535
2025-07-16,0.03870162492650726,0.8319887235025023
2025-07-17,0.15464999514417743,0.8303120461523422
2025-07-18,0.1853069280584258,0.8143954586689489
2025-07-21,1.1419079810045816,0.8112664468209911
2025-07-22,0.24561893701871873,0.8364997335444911
2025-07-23,1.12722721911924,0.8739435540134417
2025-07-24,1.010462484979822,0.8627059586891218
2025-07-25,0.8120414772691242,0.8437809297754233
2025-07-28,0.6378090321831447,0.84031359955399
2025-07-29,0.7066620795890073,0.841298820085627
2025-07-30,0.7771990214103396,0.8431892877229235
2025-07-31,0.3203546480531679,0.846918682357463
2025-08-01,0.11643245617640967,0.8419101763022712
2025-08-04,1.2178261834368251,0.872465407220612
2025-08-05,0.4369954493007817,0.8845639112648508
2025-08-06,0.042142898315802715,0.8919487707904488
2025-08-07,0.17604597639065386,0.8907263218470328
2025-08-08,0.5829308899964514,0.8946086823491208
2025-08-11,0.5044888666420856,0.8953638622815228
2025-08-12,1.9797659416344953,0.9614626861194273
2025-08-13,1.6068782388259983,0.9578666937140835
2025-08-14,1.6625993089247317,0.9581450691475925
2025-08-15,1.6887740369348692,0.9585124227427638
2025-08-18,1.841893195056285,0.9598619099770269
2025-08-19,1.796791296590813,0.9627715256604004
2025-08-20,1.8381877904814414,0.9622337139144401
2025-08-21,1.8523105465062677,0.9620427829814245
2025-08-22,2.3185946226966054,0.9750408587715997
2025-08-25,2.2733478993819998,0.9749481591268607
2025-08-26,2.4956566665087414,0.9708677456670155
2025-08-27,2.5834003727408947,0.9729285277521834
2025-08-28,2.340889748658161,0.9718477874805852
2025-08-29,2.7924426832136677,0.9693426949434847
2025-09-02,2.8997927791097355,0.9700594825580435
2025-09-03,2.7634704375716312,0.9688000455666866
2025-09-04,2.3189599693500966,0.9667616978460725
2025-09-05,1.8839331582013132,0.9730364037884588
2025-09-08,1.4394854508116088,0.9698668319173855
2025-09-09,1.5676635143237894,0.9696249284369712
