regime,dias,K médio (bps),SPY médio (bps),excesso médio (bps),hit do excesso
SPY em alta,208,67.83841252194793,71.71919076638277,-3.880778244434825,0.4326923076923077
SPY em queda,166,-66.36755978506491,-72.58597609715403,6.2184163120891265,0.5180722891566265
