view,mercado,conditionId,n_trades_total,bateu_cap_20k,t_cobertura_min,primeiro_slot,ultimo_slot
2.2,CPI_december-inflation-us-monthly_will-monthly-inflation-increase-by-0pt4,0x459538a4d3d80d5ca8861a885f776af15cb35a04007a7e4d4c35ebca1f6bda98,652,não,2025-12-06 00:21:03,2025-12-06 00:00,2026-01-13 12:00
2.2,CPI_december-inflation-us-monthly_will-monthly-inflation-increase-by-0pt5,0xe83e014bb9dd9896dab2993553f6009ad1b1286df99c5c244afba73e4a8e086c,636,não,2025-12-06 00:21:03,2025-12-06 00:00,2026-01-13 12:00
2.2,CPI_february-inflation-monthly_will-monthly-inflation-increase-by-0pt1,0x5e1f8f243e8dfcc8822ec886741e74fb2fe1d34bda3810511ce32d62b0f22d46,399,não,2025-02-08 16:10:10,2025-02-08 00:00,2025-03-12 12:00
2.2,CPI_february-inflation-monthly_will-monthly-inflation-increase-by-0pt2,0xf576d637a7968871e7eb1f9cf6d945fd278eb38f6364fa84724b85defbbb74cc,180,não,2025-02-08 01:30:28,2025-02-08 00:00,2025-03-12 12:00
2.2,CPI_february-inflation-monthly_will-monthly-inflation-increase-by-0pt3,0xead6f5408bde9f184be018773c131a3d39c091be029b122b98c4c485d3ac01be,377,não,2025-02-07 23:30:01,2025-02-08 00:00,2025-03-12 12:00
2.2,CPI_february-inflation-monthly_will-monthly-inflation-increase-by-0pt4,0xb521536d734e85555cd3dd567ecddec02db182eed276c85abb6e9c9f83cac0ea,119,não,2025-02-08 16:10:10,2025-02-08 00:00,2025-03-12 12:00
2.2,CPI_february-inflation-monthly_will-monthly-inflation-increase-by-0pt5,0xbe55fb3cb6873c9487969eb212ca59cc4600dfafe4e41e39af10e0d718a606d1,413,não,2025-02-08 16:10:10,2025-02-08 00:00,2025-03-12 12:00
2.2,CPI_january-inflation-monthly_will-monthly-inflation-increase-by-0pt1,0x14157ce8844eb963c4dc36c7e3499408eaf89fa4ecb63114f798dcd9dbcdf8ad,473,não,2025-01-16 07:23:17,2025-01-16 00:00,2025-02-12 12:00
2.2,CPI_january-inflation-monthly_will-monthly-inflation-increase-by-0pt2,0xe97292463060c54374f764cdc74f56974832e5c3318e395a72c99fc8dc7373c4,460,não,2025-01-16 07:23:29,2025-01-16 00:00,2025-02-12 12:00
2.2,CPI_january-inflation-monthly_will-monthly-inflation-increase-by-0pt3,0x5363ffdc02613b09ef90f685596bbfd0212eeaa88ad635a89daf76452982033f,553,não,2025-01-16 07:23:31,2025-01-16 00:00,2025-02-12 12:00
